experiment_id,run_id,param_tag,iter,evals_cost,normalized_evals,time_sec,temp,best_cost,current_cost
exp_gc_001,HC_GC[base]_n30_inst0_run0,base,0,1,0.03,2.6670022634789348e-06,,22,22
exp_gc_001,HC_GC[base]_n30_inst0_run0,base,200,201,6.7,0.0005235419957898557,,15,15
exp_gc_001,HC_GC[base]_n30_inst0_run0,base,400,401,13.37,0.0007642919954378158,,10,10
exp_gc_001,HC_GC[base]_n30_inst0_run0,base,600,601,20.03,0.0009848339977907017,,6,6
exp_gc_001,HC_GC[base]_n30_inst0_run0,base,800,801,26.7,0.0011951250053243712,,4,4
exp_gc_001,HC_GC[base]_n30_inst0_run0,base,990,991,33.03,0.0013931669964222237,,2,2
exp_gc_001,HC_GC[base]_n30_inst0_run1,base,0,1,0.03,7.499911589547992e-07,,20,20
exp_gc_001,HC_GC[base]_n30_inst0_run1,base,200,201,6.7,0.00021499999274965376,,15,15
exp_gc_001,HC_GC[base]_n30_inst0_run1,base,400,401,13.37,0.00042545799806248397,,11,11
exp_gc_001,HC_GC[base]_n30_inst0_run1,base,600,601,20.03,0.0006317499937722459,,9,9
exp_gc_001,HC_GC[base]_n30_inst0_run1,base,800,801,26.7,0.0008390000002691522,,7,7
exp_gc_001,HC_GC[base]_n30_inst0_run1,base,1000,1001,33.37,0.0010398749873274937,,4,4
exp_gc_001,HC_GC[base]_n30_inst0_run1,base,1200,1201,40.03,0.0012416669924277812,,2,2
exp_gc_001,HC_GC[base]_n30_inst0_run1,base,1260,1261,42.03,0.0013291249924805015,,2,2
exp_gc_001,HC_GC[base]_n30_inst0_run2,base,0,1,0.03,4.580069798976183e-07,,19,19
exp_gc_001,HC_GC[base]_n30_inst0_run2,base,200,201,6.7,0.00020383299852255732,,14,14
exp_gc_001,HC_GC[base]_n30_inst0_run2,base,400,401,13.37,0.0004060829960508272,,9,9
exp_gc_001,HC_GC[base]_n30_inst0_run2,base,600,601,20.03,0.0006081669998820871,,6,6
exp_gc_001,HC_GC[base]_n30_inst0_run2,base,800,801,26.7,0.0008097920072032139,,3,3
