experiment_id,run_id,param_tag,timestamp_utc,algorithm,problem,n_cities,instance_seed,coord_scale,distance_type,init_temp_T0,min_temp_Tmin,alpha,steps_per_temp,max_iter,neighbor_operator,iters,evals_cost,normalized_evals,time_sec,init_cost,final_cost,best_cost,iter_best_found,evals_best_found,normalized_evals_best_found,time_best_found_sec,seed_algo,code_version
exp_gc_001,SA_GC[base]_n30_inst0_run0,base,2026-03-14T09:26:08Z,SA_GC,GRAPH_COLORING,30,0,,graph,5.0,0.001,0.97,,1499999,recolor-1,280,281,9.37,0.0013626250001834705,22,3,3,261,262,8.73,0.0012481250014388934,0,
exp_gc_001,SA_GC[base]_n30_inst0_run1,base,2026-03-14T09:26:08Z,SA_GC,GRAPH_COLORING,30,0,,graph,5.0,0.001,0.97,,1499999,recolor-1,280,281,9.37,0.0010537089983699843,20,4,4,170,171,5.7,0.0006060419982532039,1,
exp_gc_001,SA_GC[base]_n30_inst0_run2,base,2026-03-14T09:26:08Z,SA_GC,GRAPH_COLORING,30,0,,graph,5.0,0.001,0.97,,1499999,recolor-1,280,281,9.37,0.0010032499994849786,19,3,3,200,201,6.7,0.0006604590016650036,2,
exp_gc_001,SA_GC[base]_n30_inst1_run0,base,2026-03-14T09:26:08Z,SA_GC,GRAPH_COLORING,30,1,,graph,5.0,0.001,0.97,,1499999,recolor-1,280,281,9.37,0.0009985419892473146,19,2,2,206,207,6.9,0.0007234590011648834,0,
exp_gc_001,SA_GC[base]_n30_inst1_run1,base,2026-03-14T09:26:08Z,SA_GC,GRAPH_COLORING,30,1,,graph,5.0,0.001,0.97,,1499999,recolor-1,280,281,9.37,0.0010084999958053231,25,4,4,257,258,8.6,0.0008899589884094894,1,
exp_gc_001,SA_GC[base]_n30_inst1_run2,base,2026-03-14T09:26:08Z,SA_GC,GRAPH_COLORING,30,1,,graph,5.0,0.001,0.97,,1499999,recolor-1,280,281,9.37,0.0009780840046005324,26,3,3,272,273,9.1,0.0009105839999392629,2,
exp_gc_001,SA_GC[base]_n30_inst2_run0,base,2026-03-14T09:26:08Z,SA_GC,GRAPH_COLORING,30,2,,graph,5.0,0.001,0.97,,1499999,recolor-1,280,281,9.37,0.0010100000072270632,25,3,3,207,208,6.93,0.0007422920025419444,0,
exp_gc_001,SA_GC[base]_n30_inst2_run1,base,2026-03-14T09:26:08Z,SA_GC,GRAPH_COLORING,30,2,,graph,5.0,0.001,0.97,,1499999,recolor-1,280,281,9.37,0.0009956669964594766,22,4,4,219,220,7.33,0.0007651670021004975,1,
exp_gc_001,SA_GC[base]_n30_inst2_run2,base,2026-03-14T09:26:08Z,SA_GC,GRAPH_COLORING,30,2,,graph,5.0,0.001,0.97,,1499999,recolor-1,280,281,9.37,0.0009844169981079176,22,4,4,213,214,7.13,0.0007343329925788566,2,
exp_gc_001,SA_GC[base]_n30_inst3_run0,base,2026-03-14T09:26:08Z,SA_GC,GRAPH_COLORING,30,3,,graph,5.0,0.001,0.97,,1499999,recolor-1,280,281,9.37,0.0009820839914027601,22,1,1,248,249,8.3,0.0008422089886153117,0,
exp_gc_001,SA_GC[base]_n30_inst3_run1,base,2026-03-14T09:26:08Z,SA_GC,GRAPH_COLORING,30,3,,graph,5.0,0.001,0.97,,1499999,recolor-1,280,281,9.37,0.0009750000026542693,14,1,1,221,222,7.4,0.0007540840015280992,1,
exp_gc_001,SA_GC[base]_n30_inst3_run2,base,2026-03-14T09:26:08Z,SA_GC,GRAPH_COLORING,30,3,,graph,5.0,0.001,0.97,,1499999,recolor-1,280,281,9.37,0.000970749999396503,12,2,2,209,210,7.0,0.0007129580044420436,2,
exp_gc_001,SA_GC[base]_n30_inst4_run0,base,2026-03-14T09:26:08Z,SA_GC,GRAPH_COLORING,30,4,,graph,5.0,0.001,0.97,,1499999,recolor-1,280,281,9.37,0.0009698750072857365,14,1,1,151,152,5.07,0.0004965420084772632,0,
exp_gc_001,SA_GC[base]_n30_inst4_run1,base,2026-03-14T09:26:08Z,SA_GC,GRAPH_COLORING,30,4,,graph,5.0,0.001,0.97,,1499999,recolor-1,280,281,9.37,0.0009830829949351028,19,1,1,241,242,8.07,0.0007912080036476254,1,
exp_gc_001,SA_GC[base]_n30_inst4_run2,base,2026-03-14T09:26:08Z,SA_GC,GRAPH_COLORING,30,4,,graph,5.0,0.001,0.97,,1499999,recolor-1,280,281,9.37,0.0009626249957364053,17,1,1,185,186,6.2,0.0005905829893890768,2,
