experiment_id,run_id,param_tag,timestamp_utc,algorithm,problem,n_cities,instance_seed,coord_scale,distance_type,init_temp_T0,min_temp_Tmin,alpha,steps_per_temp,max_iter,neighbor_operator,iters,evals_cost,normalized_evals,time_sec,init_cost,final_cost,best_cost,iter_best_found,evals_best_found,normalized_evals_best_found,time_best_found_sec,seed_algo,code_version
exp_kp_001,TLBO_KP[base]_n100_inst0_run0,base,2026-03-13T16:05:04Z,TLBO_KP,KNAPSACK,,0,,,,,,,500,copydiff(p=0.3)+repair,500,25500,51000.0,0.2617448749952018,-3560.0,-4460.0,-4460.0,29,2146,4292.0,0.027454666997073218,0,
exp_kp_001,TLBO_KP[base]_n100_inst0_run1,base,2026-03-13T16:05:04Z,TLBO_KP,KNAPSACK,,0,,,,,,,500,copydiff(p=0.3)+repair,500,26925,53850.0,0.2893072909937473,-3277.0,-4388.0,-4388.0,28,2076,4152.0,0.028574582989676856,1,
exp_kp_001,TLBO_KP[base]_n100_inst0_run2,base,2026-03-13T16:05:04Z,TLBO_KP,KNAPSACK,,0,,,,,,,500,copydiff(p=0.3)+repair,500,25504,51008.0,0.24311866599600762,-3299.0,-4460.0,-4460.0,19,1455,2910.0,0.020995833008782938,2,
exp_kp_001,TLBO_KP[base]_n100_inst1_run0,base,2026-03-13T16:05:05Z,TLBO_KP,KNAPSACK,,1,,,,,,,500,copydiff(p=0.3)+repair,500,27044,54088.0,0.3626975420047529,-3207.0,-4272.0,-4272.0,47,3336,6672.0,0.048235042006126605,0,
exp_kp_001,TLBO_KP[base]_n100_inst1_run1,base,2026-03-13T16:05:05Z,TLBO_KP,KNAPSACK,,1,,,,,,,500,copydiff(p=0.3)+repair,500,25238,50476.0,0.25114754198875744,-3437.0,-4208.0,-4208.0,14,1057,2114.0,0.014483082995866425,1,
exp_kp_001,TLBO_KP[base]_n100_inst1_run2,base,2026-03-13T16:05:05Z,TLBO_KP,KNAPSACK,,1,,,,,,,500,copydiff(p=0.3)+repair,500,25515,51030.0,0.2838317500136327,-3280.0,-4272.0,-4272.0,15,1166,2332.0,0.016537458999664523,2,
exp_kp_001,TLBO_KP[base]_n100_inst2_run0,base,2026-03-13T16:05:05Z,TLBO_KP,KNAPSACK,,2,,,,,,,500,copydiff(p=0.3)+repair,500,25204,50408.0,0.30213558400282636,-3042.0,-4008.0,-4008.0,15,1116,2232.0,0.015115417001652531,0,
exp_kp_001,TLBO_KP[base]_n100_inst2_run1,base,2026-03-13T16:05:06Z,TLBO_KP,KNAPSACK,,2,,,,,,,500,copydiff(p=0.3)+repair,500,25908,51816.0,0.2758532500010915,-2782.0,-4041.0,-4041.0,20,1508,3016.0,0.020475332989008166,1,
exp_kp_001,TLBO_KP[base]_n100_inst2_run2,base,2026-03-13T16:05:06Z,TLBO_KP,KNAPSACK,,2,,,,,,,500,copydiff(p=0.3)+repair,500,25447,50894.0,0.28025762499601115,-2968.0,-3992.0,-3992.0,19,1418,2836.0,0.019088625005679205,2,
exp_kp_001,TLBO_KP[base]_n100_inst3_run0,base,2026-03-13T16:05:06Z,TLBO_KP,KNAPSACK,,3,,,,,,,500,copydiff(p=0.3)+repair,500,26150,52300.0,0.28345733300375286,-3132.0,-3880.0,-3880.0,29,2152,4304.0,0.06141633300285321,0,
exp_kp_001,TLBO_KP[base]_n100_inst3_run1,base,2026-03-13T16:05:07Z,TLBO_KP,KNAPSACK,,3,,,,,,,500,copydiff(p=0.3)+repair,500,27128,54256.0,0.2807669580070069,-3226.0,-3882.0,-3882.0,21,1564,3128.0,0.0292581250105286,1,
exp_kp_001,TLBO_KP[base]_n100_inst3_run2,base,2026-03-13T16:05:07Z,TLBO_KP,KNAPSACK,,3,,,,,,,500,copydiff(p=0.3)+repair,500,26736,53472.0,0.2652520830015419,-2998.0,-3858.0,-3858.0,41,2893,5786.0,0.04201650001050439,2,
exp_kp_001,TLBO_KP[base]_n100_inst4_run0,base,2026-03-13T16:05:07Z,TLBO_KP,KNAPSACK,,4,,,,,,,500,copydiff(p=0.3)+repair,500,25310,50620.0,0.2229220000008354,-2865.0,-3895.0,-3895.0,19,1453,2906.0,0.019588416995247826,0,
exp_kp_001,TLBO_KP[base]_n100_inst4_run1,base,2026-03-13T16:05:07Z,TLBO_KP,KNAPSACK,,4,,,,,,,500,copydiff(p=0.3)+repair,500,25541,51082.0,0.24249391700141132,-2875.0,-3920.0,-3920.0,17,1275,2550.0,0.022546000007423572,1,
exp_kp_001,TLBO_KP[base]_n100_inst4_run2,base,2026-03-13T16:05:08Z,TLBO_KP,KNAPSACK,,4,,,,,,,500,copydiff(p=0.3)+repair,500,25285,50570.0,0.2251692499994533,-3114.0,-3896.0,-3896.0,21,1573,3146.0,0.024507541995262727,2,
