experiment_id,run_id,param_tag,timestamp_utc,algorithm,problem,n_cities,instance_seed,coord_scale,distance_type,init_temp_T0,min_temp_Tmin,alpha,steps_per_temp,max_iter,neighbor_operator,iters,evals_cost,normalized_evals,time_sec,init_cost,final_cost,best_cost,iter_best_found,evals_best_found,normalized_evals_best_found,time_best_found_sec,seed_algo,code_version
exp_001,ACO_n30_inst0_run0,base,2026-03-06T11:33:25Z,ACO,TSP,30,0,100.0,euclidean,,,,,1667,"ACO(ants=30,beta=2.0,rho=0.2,Q=100.0)",1667,50010,1500300.0,22.1045906249783,,474.48655643929123,474.48655643929123,1506,45180,1355400.0,19.94765525002731,0,
exp_001,ACO_n30_inst0_run1,base,2026-03-06T11:33:49Z,ACO,TSP,30,0,100.0,euclidean,,,,,1667,"ACO(ants=30,beta=2.0,rho=0.2,Q=100.0)",1667,50010,1500300.0,23.351214250025805,,474.4865564392913,474.4865564392913,965,28950,868500.0,13.74826695799129,1,
exp_001,ACO_n30_inst0_run2,base,2026-03-06T11:34:08Z,ACO,TSP,30,0,100.0,euclidean,,,,,1667,"ACO(ants=30,beta=2.0,rho=0.2,Q=100.0)",1667,50010,1500300.0,18.93577679200098,,477.3142566761273,477.3142566761273,339,10170,305100.0,3.7893239579861984,2,
exp_001,ACO_n30_inst1_run0,base,2026-03-06T11:34:28Z,ACO,TSP,30,1,100.0,euclidean,,,,,1667,"ACO(ants=30,beta=2.0,rho=0.2,Q=100.0)",1667,50010,1500300.0,19.955784666002728,,412.3301725030269,412.3301725030269,841,25230,756900.0,9.463540915981866,0,
exp_001,ACO_n30_inst1_run1,base,2026-03-06T11:34:49Z,ACO,TSP,30,1,100.0,euclidean,,,,,1667,"ACO(ants=30,beta=2.0,rho=0.2,Q=100.0)",1667,50010,1500300.0,21.262647500028834,,412.3301725030269,412.3301725030269,311,9330,279900.0,3.6964162079966627,1,
exp_001,ACO_n30_inst1_run2,base,2026-03-06T11:35:08Z,ACO,TSP,30,1,100.0,euclidean,,,,,1667,"ACO(ants=30,beta=2.0,rho=0.2,Q=100.0)",1667,50010,1500300.0,19.28609091695398,,412.3301725030269,412.3301725030269,128,3840,115200.0,1.5520354999462143,2,
exp_001,ACO_n30_inst2_run0,base,2026-03-06T11:35:27Z,ACO,TSP,30,2,100.0,euclidean,,,,,1667,"ACO(ants=30,beta=2.0,rho=0.2,Q=100.0)",1667,50010,1500300.0,18.891901166993193,,404.4220706516928,404.4220706516928,555,16650,499500.0,6.208816000027582,0,
exp_001,ACO_n30_inst2_run1,base,2026-03-06T11:35:46Z,ACO,TSP,30,2,100.0,euclidean,,,,,1667,"ACO(ants=30,beta=2.0,rho=0.2,Q=100.0)",1667,50010,1500300.0,19.383269499987364,,404.4220706516928,404.4220706516928,75,2250,67500.0,0.8332907920121215,1,
exp_001,ACO_n30_inst2_run2,base,2026-03-06T11:36:05Z,ACO,TSP,30,2,100.0,euclidean,,,,,1667,"ACO(ants=30,beta=2.0,rho=0.2,Q=100.0)",1667,50010,1500300.0,18.925080292043276,,404.4220706516928,404.4220706516928,42,1260,37800.0,0.46865033300127834,2,
exp_001,ACO_n30_inst3_run0,base,2026-03-06T11:36:26Z,ACO,TSP,30,3,100.0,euclidean,,,,,1667,"ACO(ants=30,beta=2.0,rho=0.2,Q=100.0)",1667,50010,1500300.0,21.15545825002482,,463.77382116060465,463.77382116060465,555,16650,499500.0,6.356249250005931,0,
exp_001,ACO_n30_inst3_run1,base,2026-03-06T11:36:46Z,ACO,TSP,30,3,100.0,euclidean,,,,,1667,"ACO(ants=30,beta=2.0,rho=0.2,Q=100.0)",1667,50010,1500300.0,19.936322166991886,,467.9491859260451,467.9491859260451,760,22800,684000.0,9.357297624985222,1,
exp_001,ACO_n30_inst3_run2,base,2026-03-06T11:37:05Z,ACO,TSP,30,3,100.0,euclidean,,,,,1667,"ACO(ants=30,beta=2.0,rho=0.2,Q=100.0)",1667,50010,1500300.0,19.017166375007946,,466.6151622310794,466.6151622310794,1108,33240,997200.0,12.730477791978046,2,
exp_001,ACO_n30_inst4_run0,base,2026-03-06T11:37:24Z,ACO,TSP,30,4,100.0,euclidean,,,,,1667,"ACO(ants=30,beta=2.0,rho=0.2,Q=100.0)",1667,50010,1500300.0,18.76012841600459,,460.50445794519004,460.50445794519004,813,24390,731700.0,9.127860874985345,0,
exp_001,ACO_n30_inst4_run1,base,2026-03-06T11:37:43Z,ACO,TSP,30,4,100.0,euclidean,,,,,1667,"ACO(ants=30,beta=2.0,rho=0.2,Q=100.0)",1667,50010,1500300.0,18.745023375027813,,461.0199399688034,461.0199399688034,1509,45270,1358100.0,16.992755542043597,1,
exp_001,ACO_n30_inst4_run2,base,2026-03-06T11:38:02Z,ACO,TSP,30,4,100.0,euclidean,,,,,1667,"ACO(ants=30,beta=2.0,rho=0.2,Q=100.0)",1667,50010,1500300.0,18.892616208991967,,460.50445794519,460.50445794519,1130,33900,1017000.0,12.872871708997991,2,
