experiment_id,run_id,param_tag,timestamp_utc,algorithm,problem,n_cities,instance_seed,coord_scale,distance_type,init_temp_T0,min_temp_Tmin,alpha,steps_per_temp,max_iter,neighbor_operator,iters,evals_cost,normalized_evals,time_sec,init_cost,final_cost,best_cost,iter_best_found,evals_best_found,normalized_evals_best_found,time_best_found_sec,seed_algo,code_version
exp_001,ACO_n30_inst0_run0,base,2026-03-14T07:46:52Z,ACO,TSP,30,0,100.0,euclidean,,,,,2500,"ACO(ants=20,beta=2.0,rho=0.2,Q=100.0)",2500,50000,1500000.0,30.931390375000774,,474.48655643929123,474.48655643929123,833,16660,499800.0,10.419914832993527,0,
exp_001,ACO_n30_inst0_run1,base,2026-03-14T07:47:21Z,ACO,TSP,30,0,100.0,euclidean,,,,,2500,"ACO(ants=20,beta=2.0,rho=0.2,Q=100.0)",2500,50000,1500000.0,29.790499666996766,,474.78097184678,474.78097184678,599,11980,359400.0,7.304349124999135,1,
exp_001,ACO_n30_inst0_run2,base,2026-03-14T07:47:51Z,ACO,TSP,30,0,100.0,euclidean,,,,,2500,"ACO(ants=20,beta=2.0,rho=0.2,Q=100.0)",2500,50000,1500000.0,29.759904291000566,,474.78097184677995,474.78097184677995,1342,26840,805200.0,16.038483665994136,2,
exp_001,ACO_n30_inst1_run0,base,2026-03-14T07:48:21Z,ACO,TSP,30,1,100.0,euclidean,,,,,2500,"ACO(ants=20,beta=2.0,rho=0.2,Q=100.0)",2500,50000,1500000.0,29.735405458995956,,412.3301725030269,412.3301725030269,1052,21040,631200.0,12.536400541997864,0,
exp_001,ACO_n30_inst1_run1,base,2026-03-14T07:48:51Z,ACO,TSP,30,1,100.0,euclidean,,,,,2500,"ACO(ants=20,beta=2.0,rho=0.2,Q=100.0)",2500,50000,1500000.0,29.864440792007372,,412.3301725030269,412.3301725030269,115,2300,69000.0,1.3650454170128796,1,
exp_001,ACO_n30_inst1_run2,base,2026-03-14T07:49:21Z,ACO,TSP,30,1,100.0,euclidean,,,,,2500,"ACO(ants=20,beta=2.0,rho=0.2,Q=100.0)",2500,50000,1500000.0,29.766292208005325,,412.3301725030269,412.3301725030269,1206,24120,723600.0,14.318252500001108,2,
exp_001,ACO_n30_inst2_run0,base,2026-03-14T07:49:50Z,ACO,TSP,30,2,100.0,euclidean,,,,,2500,"ACO(ants=20,beta=2.0,rho=0.2,Q=100.0)",2500,50000,1500000.0,29.89088708400959,,404.4220706516928,404.4220706516928,205,4100,123000.0,2.4266114590136567,0,
exp_001,ACO_n30_inst2_run1,base,2026-03-14T07:50:29Z,ACO,TSP,30,2,100.0,euclidean,,,,,2500,"ACO(ants=20,beta=2.0,rho=0.2,Q=100.0)",2500,50000,1500000.0,38.38595041600638,,404.4220706516928,404.4220706516928,112,2240,67200.0,1.3312153330043657,1,
exp_001,ACO_n30_inst2_run2,base,2026-03-14T07:51:02Z,ACO,TSP,30,2,100.0,euclidean,,,,,2500,"ACO(ants=20,beta=2.0,rho=0.2,Q=100.0)",2500,50000,1500000.0,32.71072775000357,,404.4220706516928,404.4220706516928,442,8840,265200.0,5.78307337500155,2,
exp_001,ACO_n30_inst3_run0,base,2026-03-14T07:51:33Z,ACO,TSP,30,3,100.0,euclidean,,,,,2500,"ACO(ants=20,beta=2.0,rho=0.2,Q=100.0)",2500,50000,1500000.0,31.395056709006894,,471.3093183259112,471.3093183259112,542,10840,325200.0,6.890054250005051,0,
exp_001,ACO_n30_inst3_run1,base,2026-03-14T07:52:04Z,ACO,TSP,30,3,100.0,euclidean,,,,,2500,"ACO(ants=20,beta=2.0,rho=0.2,Q=100.0)",2500,50000,1500000.0,31.391921292000916,,463.7738211606046,463.7738211606046,136,2720,81600.0,1.7815180420002434,1,
exp_001,ACO_n30_inst3_run2,base,2026-03-14T07:52:40Z,ACO,TSP,30,3,100.0,euclidean,,,,,2500,"ACO(ants=20,beta=2.0,rho=0.2,Q=100.0)",2500,50000,1500000.0,35.63680654100608,,465.1078448555703,465.1078448555703,792,15840,475200.0,10.274069958002656,2,
exp_001,ACO_n30_inst4_run0,base,2026-03-14T07:53:17Z,ACO,TSP,30,4,100.0,euclidean,,,,,2500,"ACO(ants=20,beta=2.0,rho=0.2,Q=100.0)",2500,50000,1500000.0,37.22225050000998,,461.0199399688034,461.0199399688034,2160,43200,1296000.0,32.862818542009336,0,
exp_001,ACO_n30_inst4_run1,base,2026-03-14T07:53:51Z,ACO,TSP,30,4,100.0,euclidean,,,,,2500,"ACO(ants=20,beta=2.0,rho=0.2,Q=100.0)",2500,50000,1500000.0,34.2860735419963,,462.10578915647216,462.10578915647216,1087,21740,652200.0,16.622287124992,1,
exp_001,ACO_n30_inst4_run2,base,2026-03-14T07:54:22Z,ACO,TSP,30,4,100.0,euclidean,,,,,2500,"ACO(ants=20,beta=2.0,rho=0.2,Q=100.0)",2500,50000,1500000.0,30.092783750005765,,462.3504304592514,462.3504304592514,382,7640,229200.0,4.572381042002235,2,
