experiment_id,run_id,param_tag,timestamp_utc,algorithm,problem,n_cities,instance_seed,coord_scale,distance_type,init_temp_T0,min_temp_Tmin,alpha,steps_per_temp,max_iter,neighbor_operator,iters,evals_cost,normalized_evals,time_sec,init_cost,final_cost,best_cost,iter_best_found,evals_best_found,normalized_evals_best_found,time_best_found_sec,seed_algo,code_version
exp_001,SA_n30_inst0_run0,base,2026-03-06T06:54:26Z,SA,TSP,30,0,100.0,euclidean,100.0,0.001,0.99,2000,50000,2-opt,50000,50001,1666.7,0.4602134579909034,1576.8098155143348,1544.0422676977942,1007.4054643991566,334,335,11.17,0.0033227920066565275,0,
exp_001,SA_n30_inst0_run1,base,2026-03-06T06:54:26Z,SA,TSP,30,0,100.0,euclidean,100.0,0.001,0.99,2000,50000,2-opt,50000,50001,1666.7,0.31592124997405335,1659.613146142258,1585.8691360171556,1009.0272883035308,29171,29172,972.4,0.1868242910131812,1,
exp_001,SA_n30_inst0_run2,base,2026-03-06T06:54:27Z,SA,TSP,30,0,100.0,euclidean,100.0,0.001,0.99,2000,50000,2-opt,50000,50001,1666.7,0.30576654098695144,1677.485896950784,1401.248942132339,985.532902454753,32464,32465,1082.17,0.19945399998687208,2,
exp_001,SA_n30_inst1_run0,base,2026-03-06T06:54:27Z,SA,TSP,30,1,100.0,euclidean,100.0,0.001,0.99,2000,50000,2-opt,50000,50001,1666.7,0.3101289580226876,1451.5993252828607,1238.8764365917718,956.0313541976963,112,113,3.77,0.0007323329919017851,0,
exp_001,SA_n30_inst1_run1,base,2026-03-06T06:54:27Z,SA,TSP,30,1,100.0,euclidean,100.0,0.001,0.99,2000,50000,2-opt,50000,50001,1666.7,0.3179548329790123,1558.0339841960226,1335.0799935200616,961.1359786756241,42135,42136,1404.53,0.26885449996916577,1,
exp_001,SA_n30_inst1_run2,base,2026-03-06T06:54:28Z,SA,TSP,30,1,100.0,euclidean,100.0,0.001,0.99,2000,50000,2-opt,50000,50001,1666.7,0.3001703749760054,1703.1840176278913,1557.1527545570564,976.9105793129214,4451,4452,148.4,0.02735495800152421,2,
exp_001,SA_n30_inst2_run0,base,2026-03-06T06:54:28Z,SA,TSP,30,2,100.0,euclidean,100.0,0.001,0.99,2000,50000,2-opt,50000,50001,1666.7,0.3181615410139784,1511.749455825047,1090.705349914238,863.3957082813299,44641,44642,1488.07,0.28510191600071266,0,
exp_001,SA_n30_inst2_run1,base,2026-03-06T06:54:28Z,SA,TSP,30,2,100.0,euclidean,100.0,0.001,0.99,2000,50000,2-opt,50000,50001,1666.7,0.30777925002621487,1541.214159096117,1450.8957914074972,931.2982445122675,10654,10655,355.17,0.06684412498725578,1,
exp_001,SA_n30_inst2_run2,base,2026-03-06T06:54:29Z,SA,TSP,30,2,100.0,euclidean,100.0,0.001,0.99,2000,50000,2-opt,50000,50001,1666.7,0.3033213330199942,1412.4814021822174,1155.1505603485653,933.9348930791657,15089,15090,503.0,0.09276804100954905,2,
exp_001,SA_n30_inst3_run0,base,2026-03-06T06:54:29Z,SA,TSP,30,3,100.0,euclidean,100.0,0.001,0.99,2000,50000,2-opt,50000,50001,1666.7,0.30525641702115536,1468.2532388566033,1400.6384485154001,942.6251388768592,46700,46701,1556.7,0.28549241699511185,0,
exp_001,SA_n30_inst3_run1,base,2026-03-06T06:54:29Z,SA,TSP,30,3,100.0,euclidean,100.0,0.001,0.99,2000,50000,2-opt,50000,50001,1666.7,0.30665283399866894,1298.428735514723,1357.8835903746995,901.207866681142,40477,40478,1349.27,0.24399733397876844,1,
exp_001,SA_n30_inst3_run2,base,2026-03-06T06:54:29Z,SA,TSP,30,3,100.0,euclidean,100.0,0.001,0.99,2000,50000,2-opt,50000,50001,1666.7,0.3120925839757547,1450.587521407128,1198.1326765400408,919.2381004565004,41027,41028,1367.6,0.2564099589944817,2,
exp_001,SA_n30_inst4_run0,base,2026-03-06T06:54:30Z,SA,TSP,30,4,100.0,euclidean,100.0,0.001,0.99,2000,50000,2-opt,50000,50001,1666.7,0.309649333008565,1577.1693996877634,1406.0193860377735,873.8629416614318,36987,36988,1232.93,0.2258659999934025,0,
exp_001,SA_n30_inst4_run1,base,2026-03-06T06:54:30Z,SA,TSP,30,4,100.0,euclidean,100.0,0.001,0.99,2000,50000,2-opt,50000,50001,1666.7,0.3096122500137426,1552.8284346046048,1389.0489846722994,896.1247746847978,33729,33730,1124.33,0.20799537503626198,1,
exp_001,SA_n30_inst4_run2,base,2026-03-06T06:54:30Z,SA,TSP,30,4,100.0,euclidean,100.0,0.001,0.99,2000,50000,2-opt,50000,50001,1666.7,0.30388491600751877,1587.7312601578255,1399.5837129004187,948.7379754224587,8784,8785,292.83,0.054215499956626445,2,
