experiment_id,run_id,param_tag,iter,evals_cost,normalized_evals,time_sec,temp,best_cost,current_cost
exp_gc_001,ACO_GC[base]_n30_inst0_run0,base,0,0,0.0,3.0840019462630153e-06,,1000000000000000000,inf
exp_gc_001,ACO_GC[base]_n30_inst0_run0,base,5,150,150.0,0.05481050000526011,,0,0.0
exp_gc_001,ACO_GC[base]_n30_inst0_run1,base,0,0,0.0,1.8330028979107738e-06,,1000000000000000000,inf
exp_gc_001,ACO_GC[base]_n30_inst0_run1,base,7,210,210.0,0.14119283300533425,,0,0.0
exp_gc_001,ACO_GC[base]_n30_inst0_run2,base,0,0,0.0,3.915993147529662e-06,,1000000000000000000,inf
exp_gc_001,ACO_GC[base]_n30_inst0_run2,base,7,210,210.0,0.07755924999946728,,0,0.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,0,0,0.0,1.8749997252598405e-06,,1000000000000000000,inf
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,10,300,300.0,0.10738341699470766,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,20,600,600.0,0.2151974589942256,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,30,900,900.0,0.32208595899282955,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,40,1200,1200.0,0.43021316699741874,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,50,1500,1500.0,0.5362242499977583,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,60,1800,1800.0,0.6446986249939073,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,70,2100,2100.0,0.7626723749999655,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,80,2400,2400.0,0.8701047499926062,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,90,2700,2700.0,0.9772752919961931,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,100,3000,3000.0,1.0866209590021754,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,110,3300,3300.0,1.1943725839955732,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,120,3600,3600.0,1.301620958998683,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,130,3900,3900.0,1.40880499999912,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,140,4200,4200.0,1.516050209000241,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,150,4500,4500.0,1.6290287500014529,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,160,4800,4800.0,1.7364139999990584,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,170,5100,5100.0,1.844840708989068,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,180,5400,5400.0,1.9527617919957265,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,190,5700,5700.0,2.0595415419957135,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,200,6000,6000.0,2.1683426249946933,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,210,6300,6300.0,2.275828208992607,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,220,6600,6600.0,2.3890749589918414,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,230,6900,6900.0,2.4953502919961466,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,240,7200,7200.0,2.602615916999639,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,250,7500,7500.0,2.709599708992755,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,260,7800,7800.0,2.861807958994177,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,270,8100,8100.0,2.992998959001852,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,280,8400,8400.0,3.1031742919876706,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,290,8700,8700.0,3.2120697919890517,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,300,9000,9000.0,3.3250119169970276,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,310,9300,9300.0,3.441881624996313,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,320,9600,9600.0,3.5517403339908924,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,330,9900,9900.0,3.658279750001384,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,340,10200,10200.0,3.7652226249920204,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,350,10500,10500.0,3.876342958988971,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,360,10800,10800.0,3.989703125000233,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,370,11100,11100.0,4.118745374988066,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,380,11400,11400.0,4.364782416989328,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,390,11700,11700.0,4.480373708996922,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,400,12000,12000.0,4.596960750001017,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,410,12300,12300.0,4.712029874994187,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,420,12600,12600.0,4.822161541989772,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,430,12900,12900.0,4.933992833990487,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,440,13200,13200.0,5.044417917000828,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,450,13500,13500.0,5.165951709001092,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,460,13800,13800.0,5.320208916993579,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,470,14100,14100.0,5.484995041988441,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,480,14400,14400.0,5.604069666995201,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,490,14700,14700.0,5.746938791999128,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,500,15000,15000.0,5.886808083989308,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,510,15300,15300.0,6.007425958989188,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,520,15600,15600.0,6.124752666990389,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,530,15900,15900.0,6.237036916994839,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,540,16200,16200.0,6.348426083990489,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,550,16500,16500.0,6.46325266698841,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,560,16800,16800.0,6.58244274999015,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,570,17100,17100.0,6.695617666991893,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,580,17400,17400.0,6.80607391698868,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,590,17700,17700.0,6.943602374987677,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,600,18000,18000.0,7.05956054199487,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,610,18300,18300.0,7.176830166994478,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,620,18600,18600.0,7.294703624997055,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,630,18900,18900.0,7.405799667001702,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,640,19200,19200.0,7.515250541997375,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,650,19500,19500.0,7.626432833989384,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,660,19800,19800.0,7.737977458993555,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,670,20100,20100.0,7.859248791995924,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,680,20400,20400.0,7.973338333991705,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,690,20700,20700.0,8.083094834000804,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,700,21000,21000.0,8.192081417000736,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,710,21300,21300.0,8.375652499991702,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,720,21600,21600.0,8.503822999991826,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,730,21900,21900.0,8.61819066699536,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,740,22200,22200.0,8.728615208994597,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,750,22500,22500.0,8.911485124990577,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,760,22800,22800.0,9.027064416994108,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,770,23100,23100.0,9.142027583991876,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,780,23400,23400.0,9.252034833989455,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,790,23700,23700.0,9.362997124990216,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,800,24000,24000.0,9.472117874989635,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,810,24300,24300.0,9.579086166995694,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,820,24600,24600.0,9.686696333999862,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,830,24900,24900.0,9.792353458993603,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,840,25200,25200.0,9.898055958998157,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,850,25500,25500.0,10.0034134999878,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,860,25800,25800.0,10.112848999997368,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,870,26100,26100.0,10.22592316698865,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,880,26400,26400.0,10.335777416999917,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,890,26700,26700.0,10.445588958988083,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,900,27000,27000.0,10.553567208989989,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,910,27300,27300.0,10.661896208999678,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,920,27600,27600.0,10.773137416996178,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,930,27900,27900.0,10.961408791990834,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,940,28200,28200.0,11.070321749997674,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,950,28500,28500.0,11.183548666987917,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,960,28800,28800.0,11.290115249998053,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,970,29100,29100.0,11.400217124988558,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,980,29400,29400.0,11.527911458993913,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,990,29700,29700.0,11.656009250000352,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1000,30000,30000.0,11.772677959001157,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1010,30300,30300.0,11.891319958987879,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1020,30600,30600.0,12.038149749991135,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1030,30900,30900.0,12.164964458992472,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1040,31200,31200.0,12.284114249996492,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1050,31500,31500.0,12.396387791988673,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1060,31800,31800.0,12.502153166991775,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1070,32100,32100.0,12.61734474998957,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1080,32400,32400.0,12.728013208994525,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1090,32700,32700.0,12.834425041990471,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1100,33000,33000.0,12.940641958994092,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1110,33300,33300.0,13.046248124999693,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1120,33600,33600.0,13.152359458996216,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1130,33900,33900.0,13.258120999991661,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1140,34200,34200.0,13.363404999996419,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1150,34500,34500.0,13.469119959001546,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1160,34800,34800.0,13.576346083995304,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1170,35100,35100.0,13.682398624994676,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1180,35400,35400.0,13.787833374997717,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1190,35700,35700.0,13.893458874998032,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1200,36000,36000.0,14.176083833997836,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1210,36300,36300.0,14.281655333994422,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1220,36600,36600.0,14.391456458994071,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1230,36900,36900.0,14.497613083993201,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1240,37200,37200.0,14.603646167000988,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1250,37500,37500.0,14.710033625000506,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1260,37800,37800.0,14.815871958999196,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1270,38100,38100.0,14.921717833989533,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1280,38400,38400.0,15.028107583988458,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1290,38700,38700.0,15.134029249995365,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1300,39000,39000.0,15.240904209000291,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1310,39300,39300.0,15.346158041997114,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1320,39600,39600.0,15.451781541996752,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1330,39900,39900.0,15.557512499988661,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1340,40200,40200.0,15.675010416991427,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1350,40500,40500.0,15.78035099999397,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1360,40800,40800.0,15.88615429199126,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1370,41100,41100.0,15.991362166998442,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1380,41400,41400.0,16.09722216699447,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1390,41700,41700.0,16.20607437498984,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1400,42000,42000.0,16.312757084000623,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1410,42300,42300.0,16.41876279198914,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1420,42600,42600.0,16.52486270898953,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1430,42900,42900.0,16.633934208992287,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1440,43200,43200.0,16.741478374999133,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1450,43500,43500.0,16.8469167919975,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1460,43800,43800.0,16.95365683399723,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1470,44100,44100.0,17.058954708991223,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1480,44400,44400.0,17.164944541989826,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1490,44700,44700.0,17.272272458998486,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1500,45000,45000.0,17.377721541997744,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1510,45300,45300.0,17.48302237498865,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1520,45600,45600.0,17.58900791699125,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1530,45900,45900.0,17.696666791991447,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1540,46200,46200.0,17.802709958996275,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1550,46500,46500.0,17.908300291994237,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1560,46800,46800.0,18.013661374992807,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1570,47100,47100.0,18.118948958988767,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1580,47400,47400.0,18.225053041998763,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1590,47700,47700.0,18.330994749994716,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1600,48000,48000.0,18.44110474998888,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1610,48300,48300.0,18.55178516700107,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1620,48600,48600.0,18.65719783399254,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1630,48900,48900.0,18.765105917002074,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1640,49200,49200.0,18.870794124988606,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1650,49500,49500.0,18.976100125000812,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1660,49800,49800.0,19.08203212499211,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,1666,49980,49980.0,19.145911792002153,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run1,base,0,0,0.0,1.8749997252598405e-06,,1000000000000000000,inf
exp_gc_001,ACO_GC[base]_n30_inst1_run1,base,10,300,300.0,0.11171904100046959,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run1,base,20,600,600.0,0.2372905410011299,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run1,base,30,900,900.0,0.34443187499709893,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run1,base,40,1200,1200.0,0.45193704099801835,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run1,base,50,1500,1500.0,0.5597810830076924,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run1,base,60,1800,1800.0,0.7124348329962231,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run1,base,70,2100,2100.0,0.8216397910000524,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run1,base,80,2400,2400.0,0.9279439160018228,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run1,base,90,2700,2700.0,1.034269708005013,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run1,base,100,3000,3000.0,1.1394623329979368,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run1,base,110,3300,3300.0,1.245203375001438,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run1,base,120,3600,3600.0,1.4142518330045277,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run1,base,130,3900,3900.0,1.525809124999796,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run1,base,140,4200,4200.0,1.6340148750023218,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run1,base,150,4500,4500.0,1.7417672910087276,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run1,base,160,4800,4800.0,1.875945125008002,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run1,base,170,5100,5100.0,2.0117508330004057,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run1,base,180,5400,5400.0,2.1201407500047935,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run1,base,190,5700,5700.0,2.2279366250004387,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run1,base,200,6000,6000.0,2.3389472080016276,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run1,base,210,6300,6300.0,2.449845291004749,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run1,base,220,6600,6600.0,2.624003791002906,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run1,base,230,6900,6900.0,2.7361604159959825,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run1,base,240,7200,7200.0,2.8425419999985024,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run1,base,250,7500,7500.0,2.9490627080085687,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run1,base,260,7800,7800.0,3.0578569159988547,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run1,base,270,8100,8100.0,3.1649045829981333,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run1,base,280,8400,8400.0,3.272811625007307,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run1,base,290,8700,8700.0,3.3786912909999955,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run1,base,300,9000,9000.0,3.4843593330006115,,1,1.0
exp_gc_001,ACO_GC[base]_n30_inst1_run1,base,310,9300,9300.0,3.590351416001795,,1,1.0
