experiment_id,run_id,param_tag,timestamp_utc,algorithm,problem,n_cities,instance_seed,coord_scale,distance_type,init_temp_T0,min_temp_Tmin,alpha,steps_per_temp,max_iter,neighbor_operator,iters,evals_cost,normalized_evals,time_sec,init_cost,final_cost,best_cost,iter_best_found,evals_best_found,normalized_evals_best_found,time_best_found_sec,seed_algo,code_version
exp_gc_001,ACO_GC[base]_n30_inst0_run0,base,2026-03-14T09:40:20Z,ACO_GC,GRAPH_COLORING,30,0,,graph,,,,,1666,"tau[v,c](rho=0.1,beta=3.0)",10,300,300.0,0.10619879100704566,,0,0,10,300,300.0,0.10569470800692216,0,
exp_gc_001,ACO_GC[base]_n30_inst0_run1,base,2026-03-14T09:40:20Z,ACO_GC,GRAPH_COLORING,30,0,,graph,,,,,1666,"tau[v,c](rho=0.1,beta=3.0)",18,540,540.0,0.18911745799414348,,0,0,18,540,540.0,0.18893841699173208,1,
exp_gc_001,ACO_GC[base]_n30_inst0_run2,base,2026-03-14T09:40:20Z,ACO_GC,GRAPH_COLORING,30,0,,graph,,,,,1666,"tau[v,c](rho=0.1,beta=3.0)",15,450,450.0,0.15951816699816845,,0,0,15,450,450.0,0.15926237500389107,2,
exp_gc_001,ACO_GC[base]_n30_inst1_run0,base,2026-03-14T09:40:20Z,ACO_GC,GRAPH_COLORING,30,1,,graph,,,,,1666,"tau[v,c](rho=0.1,beta=3.0)",21,630,630.0,0.2216422499914188,,0,0,21,630,630.0,0.22154604199749883,0,
exp_gc_001,ACO_GC[base]_n30_inst1_run1,base,2026-03-14T09:40:21Z,ACO_GC,GRAPH_COLORING,30,1,,graph,,,,,1666,"tau[v,c](rho=0.1,beta=3.0)",26,780,780.0,0.277011666999897,,0,0,26,780,780.0,0.27678825000475626,1,
exp_gc_001,ACO_GC[base]_n30_inst1_run2,base,2026-03-14T09:40:21Z,ACO_GC,GRAPH_COLORING,30,1,,graph,,,,,1666,"tau[v,c](rho=0.1,beta=3.0)",15,450,450.0,0.1580736670002807,,0,0,15,450,450.0,0.1579577920056181,2,
exp_gc_001,ACO_GC[base]_n30_inst2_run0,base,2026-03-14T09:40:21Z,ACO_GC,GRAPH_COLORING,30,2,,graph,,,,,1666,"tau[v,c](rho=0.1,beta=3.0)",28,840,840.0,0.30290066600719,,0,0,28,840,840.0,0.3026813750038855,0,
exp_gc_001,ACO_GC[base]_n30_inst2_run1,base,2026-03-14T09:40:21Z,ACO_GC,GRAPH_COLORING,30,2,,graph,,,,,1666,"tau[v,c](rho=0.1,beta=3.0)",22,660,660.0,0.23578791700128932,,0,0,22,660,660.0,0.23563116700097453,1,
exp_gc_001,ACO_GC[base]_n30_inst2_run2,base,2026-03-14T09:40:21Z,ACO_GC,GRAPH_COLORING,30,2,,graph,,,,,1666,"tau[v,c](rho=0.1,beta=3.0)",10,300,300.0,0.10631358298996929,,0,0,10,300,300.0,0.10584449999441858,2,
exp_gc_001,ACO_GC[base]_n30_inst3_run0,base,2026-03-14T09:40:22Z,ACO_GC,GRAPH_COLORING,30,3,,graph,,,,,1666,"tau[v,c](rho=0.1,beta=3.0)",9,270,270.0,0.09510245799901895,,0,0,9,270,270.0,0.09484291699482128,0,
exp_gc_001,ACO_GC[base]_n30_inst3_run1,base,2026-03-14T09:40:22Z,ACO_GC,GRAPH_COLORING,30,3,,graph,,,,,1666,"tau[v,c](rho=0.1,beta=3.0)",7,210,210.0,0.0724542499956442,,0,0,7,210,210.0,0.07227295800112188,1,
exp_gc_001,ACO_GC[base]_n30_inst3_run2,base,2026-03-14T09:40:22Z,ACO_GC,GRAPH_COLORING,30,3,,graph,,,,,1666,"tau[v,c](rho=0.1,beta=3.0)",2,60,60.0,0.021062958010588773,,0,0,2,60,60.0,0.02097279099689331,2,
exp_gc_001,ACO_GC[base]_n30_inst4_run0,base,2026-03-14T09:40:22Z,ACO_GC,GRAPH_COLORING,30,4,,graph,,,,,1666,"tau[v,c](rho=0.1,beta=3.0)",4,120,120.0,0.04071850000764243,,0,0,4,120,120.0,0.040572416997747496,0,
exp_gc_001,ACO_GC[base]_n30_inst4_run1,base,2026-03-14T09:40:22Z,ACO_GC,GRAPH_COLORING,30,4,,graph,,,,,1666,"tau[v,c](rho=0.1,beta=3.0)",1,30,30.0,0.010267249992466532,,0,0,1,30,30.0,0.010186625004280359,1,
exp_gc_001,ACO_GC[base]_n30_inst4_run2,base,2026-03-14T09:40:22Z,ACO_GC,GRAPH_COLORING,30,4,,graph,,,,,1666,"tau[v,c](rho=0.1,beta=3.0)",1,30,30.0,0.010326415998861194,,0,0,1,30,30.0,0.010261666000587866,2,
