experiment_id,run_id,param_tag,timestamp_utc,algorithm,problem,n_cities,instance_seed,coord_scale,distance_type,init_temp_T0,min_temp_Tmin,alpha,steps_per_temp,max_iter,neighbor_operator,iters,evals_cost,normalized_evals,time_sec,init_cost,final_cost,best_cost,iter_best_found,evals_best_found,normalized_evals_best_found,time_best_found_sec,seed_algo,code_version
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,2026-03-14T09:26:10Z,GA_GC,GRAPH_COLORING,30,0,,graph,,,,,499,1pt-xover+recolor(mut=0.02),499,50000,50000.0,1.3785159169929102,12,2,2,43,4400,4400.0,0.12095499999122694,0,
exp_gc_001,GA_GC[base]_n30_inst0_run1,base,2026-03-14T09:26:10Z,GA_GC,GRAPH_COLORING,30,0,,graph,,,,,499,1pt-xover+recolor(mut=0.02),142,14300,14300.0,0.39442708299611695,13,0,0,142,14300,14300.0,0.3943467079952825,1,
exp_gc_001,GA_GC[base]_n30_inst0_run2,base,2026-03-14T09:26:10Z,GA_GC,GRAPH_COLORING,30,0,,graph,,,,,499,1pt-xover+recolor(mut=0.02),51,5200,5200.0,0.13999366700591054,13,0,0,51,5200,5200.0,0.13992612500442192,2,
exp_gc_001,GA_GC[base]_n30_inst1_run0,base,2026-03-14T09:26:11Z,GA_GC,GRAPH_COLORING,30,1,,graph,,,,,499,1pt-xover+recolor(mut=0.02),444,44500,44500.0,1.242253249991336,12,0,0,444,44500,44500.0,1.242176916988683,0,
exp_gc_001,GA_GC[base]_n30_inst1_run1,base,2026-03-14T09:26:13Z,GA_GC,GRAPH_COLORING,30,1,,graph,,,,,499,1pt-xover+recolor(mut=0.02),499,50000,50000.0,1.3792879169923253,14,1,1,16,1700,1700.0,0.044869166988064535,1,
exp_gc_001,GA_GC[base]_n30_inst1_run2,base,2026-03-14T09:26:14Z,GA_GC,GRAPH_COLORING,30,1,,graph,,,,,499,1pt-xover+recolor(mut=0.02),429,43000,43000.0,1.1864013330050511,14,0,0,429,43000,43000.0,1.1862023330031661,2,
exp_gc_001,GA_GC[base]_n30_inst2_run0,base,2026-03-14T09:26:14Z,GA_GC,GRAPH_COLORING,30,2,,graph,,,,,499,1pt-xover+recolor(mut=0.02),110,11100,11100.0,0.4023832079983549,14,0,0,110,11100,11100.0,0.4017352920054691,0,
exp_gc_001,GA_GC[base]_n30_inst2_run1,base,2026-03-14T09:26:16Z,GA_GC,GRAPH_COLORING,30,2,,graph,,,,,499,1pt-xover+recolor(mut=0.02),499,50000,50000.0,1.4018346669909079,13,1,1,40,4100,4100.0,0.1179792499897303,1,
exp_gc_001,GA_GC[base]_n30_inst2_run2,base,2026-03-14T09:26:17Z,GA_GC,GRAPH_COLORING,30,2,,graph,,,,,499,1pt-xover+recolor(mut=0.02),499,50000,50000.0,1.4412435420090333,15,1,1,85,8600,8600.0,0.23783462500432506,2,
exp_gc_001,GA_GC[base]_n30_inst3_run0,base,2026-03-14T09:26:17Z,GA_GC,GRAPH_COLORING,30,3,,graph,,,,,499,1pt-xover+recolor(mut=0.02),9,1000,1000.0,0.025193124994984828,11,0,0,9,1000,1000.0,0.024980207992484793,0,
exp_gc_001,GA_GC[base]_n30_inst3_run1,base,2026-03-14T09:26:17Z,GA_GC,GRAPH_COLORING,30,3,,graph,,,,,499,1pt-xover+recolor(mut=0.02),14,1500,1500.0,0.03902758400363382,8,0,0,14,1500,1500.0,0.03888708399608731,1,
exp_gc_001,GA_GC[base]_n30_inst3_run2,base,2026-03-14T09:26:19Z,GA_GC,GRAPH_COLORING,30,3,,graph,,,,,499,1pt-xover+recolor(mut=0.02),499,50000,50000.0,1.534477290988434,12,1,1,37,3800,3800.0,0.10340112500125542,2,
exp_gc_001,GA_GC[base]_n30_inst4_run0,base,2026-03-14T09:26:20Z,GA_GC,GRAPH_COLORING,30,4,,graph,,,,,499,1pt-xover+recolor(mut=0.02),499,50000,50000.0,1.3389073750004172,9,1,1,192,19300,19300.0,0.521923667009105,0,
exp_gc_001,GA_GC[base]_n30_inst4_run1,base,2026-03-14T09:26:20Z,GA_GC,GRAPH_COLORING,30,4,,graph,,,,,499,1pt-xover+recolor(mut=0.02),33,3400,3400.0,0.08535545799531974,10,0,0,33,3400,3400.0,0.08524058299371973,1,
exp_gc_001,GA_GC[base]_n30_inst4_run2,base,2026-03-14T09:26:20Z,GA_GC,GRAPH_COLORING,30,4,,graph,,,,,499,1pt-xover+recolor(mut=0.02),23,2400,2400.0,0.061475499998778105,9,0,0,23,2400,2400.0,0.06122883399075363,2,
