experiment_id,run_id,param_tag,iter,evals_cost,normalized_evals,time_sec,temp,best_cost,current_cost
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,0,100,100.0,9.580107871443033e-07,,12,12
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,10,1100,1100.0,0.03167891599878203,,2,2
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,20,2100,2100.0,0.06287891601095907,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,30,3100,3100.0,0.09409208300348837,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,40,4100,4100.0,0.12470433300768491,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,50,5100,5100.0,0.15508858300745487,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,60,6100,6100.0,0.1856364580016816,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,70,7100,7100.0,0.21630404100869782,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,80,8100,8100.0,0.24691524999798276,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,90,9100,9100.0,0.27756483299890533,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,100,10100,10100.0,0.308012207999127,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,110,11100,11100.0,0.33858799999870826,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,120,12100,12100.0,0.36907483299728483,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,130,13100,13100.0,0.3996182080009021,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,140,14100,14100.0,0.4303123330028029,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,150,15100,15100.0,0.46067341600428335,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,160,16100,16100.0,0.4913851250021253,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,170,17100,17100.0,0.5220271250000224,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,180,18100,18100.0,0.5526632910041371,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,190,19100,19100.0,0.5833617080061231,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,200,20100,20100.0,0.6140997080074158,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,210,21100,21100.0,0.6440929160016822,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,220,22100,22100.0,0.6743711660092231,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,230,23100,23100.0,0.7047145410033409,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,240,24100,24100.0,0.7378901659976691,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,250,25100,25100.0,0.7686170829983894,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,260,26100,26100.0,0.7994432499981485,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,270,27100,27100.0,0.8298182910075411,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,280,28100,28100.0,0.8613825830107089,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,290,29100,29100.0,0.8954792500007898,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,300,30100,30100.0,0.92964375000156,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,310,31100,31100.0,0.9619163330062293,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,320,32100,32100.0,0.9941150000086054,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,330,33100,33100.0,1.025211208005203,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,340,34100,34100.0,1.056157125000027,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,350,35100,35100.0,1.0861333330103662,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,360,36100,36100.0,1.1167628330003936,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,370,37100,37100.0,1.148893040997791,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,380,38100,38100.0,1.1798384160065325,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,390,39100,39100.0,1.2102914999995846,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,400,40100,40100.0,1.2406820410105865,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,410,41100,41100.0,1.2707936660008272,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,420,42100,42100.0,1.301084416001686,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,430,43100,43100.0,1.3317090000055032,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,440,44100,44100.0,1.3618727080029203,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,450,45100,45100.0,1.3921999580052216,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,460,46100,46100.0,1.4226790829998208,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,470,47100,47100.0,1.4535230830078945,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,480,48100,48100.0,1.4842617500107735,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,490,49100,49100.0,1.5156956660066498,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,499,50000,50000.0,1.5453185410005972,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run1,base,0,100,100.0,8.750066626816988e-07,,13,13
