experiment_id,run_id,param_tag,timestamp_utc,algorithm,problem,n_cities,instance_seed,coord_scale,distance_type,init_temp_T0,min_temp_Tmin,alpha,steps_per_temp,max_iter,neighbor_operator,iters,evals_cost,normalized_evals,time_sec,init_cost,final_cost,best_cost,iter_best_found,evals_best_found,normalized_evals_best_found,time_best_found_sec,seed_algo,code_version
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,2026-03-14T09:27:56Z,GA_GC,GRAPH_COLORING,30,0,,graph,,,,,499,1pt-xover+recolor(mut=0.1),499,50000,50000.0,1.5455666660127463,12,1,1,18,1900,1900.0,0.05674204100796487,0,
exp_gc_001,GA_GC[base]_n30_inst0_run1,base,2026-03-14T09:27:57Z,GA_GC,GRAPH_COLORING,30,0,,graph,,,,,499,1pt-xover+recolor(mut=0.1),208,20900,20900.0,0.6351482909958577,13,0,0,208,20900,20900.0,0.6348902080062544,1,
exp_gc_001,GA_GC[base]_n30_inst0_run2,base,2026-03-14T09:27:59Z,GA_GC,GRAPH_COLORING,30,0,,graph,,,,,499,1pt-xover+recolor(mut=0.1),499,50000,50000.0,1.5304089999990538,13,1,1,17,1800,1800.0,0.0522460409993073,2,
exp_gc_001,GA_GC[base]_n30_inst1_run0,base,2026-03-14T09:28:00Z,GA_GC,GRAPH_COLORING,30,1,,graph,,,,,499,1pt-xover+recolor(mut=0.1),499,50000,50000.0,1.7241228750062874,12,1,1,42,4300,4300.0,0.1401108749996638,0,
exp_gc_001,GA_GC[base]_n30_inst1_run1,base,2026-03-14T09:28:00Z,GA_GC,GRAPH_COLORING,30,1,,graph,,,,,499,1pt-xover+recolor(mut=0.1),36,3700,3700.0,0.11669220800104085,14,0,0,36,3700,3700.0,0.11631479200150352,1,
exp_gc_001,GA_GC[base]_n30_inst1_run2,base,2026-03-14T09:28:01Z,GA_GC,GRAPH_COLORING,30,1,,graph,,,,,499,1pt-xover+recolor(mut=0.1),90,9100,9100.0,0.3909196669992525,14,0,0,90,9100,9100.0,0.3905250829993747,2,
exp_gc_001,GA_GC[base]_n30_inst2_run0,base,2026-03-14T09:28:01Z,GA_GC,GRAPH_COLORING,30,2,,graph,,,,,499,1pt-xover+recolor(mut=0.1),71,7200,7200.0,0.22215179201157298,14,0,0,71,7200,7200.0,0.2219067090045428,0,
exp_gc_001,GA_GC[base]_n30_inst2_run1,base,2026-03-14T09:28:01Z,GA_GC,GRAPH_COLORING,30,2,,graph,,,,,499,1pt-xover+recolor(mut=0.1),147,14800,14800.0,0.477042166996398,13,0,0,147,14800,14800.0,0.4768342089955695,1,
exp_gc_001,GA_GC[base]_n30_inst2_run2,base,2026-03-14T09:28:02Z,GA_GC,GRAPH_COLORING,30,2,,graph,,,,,499,1pt-xover+recolor(mut=0.1),207,20800,20800.0,0.6463328340032604,15,0,0,207,20800,20800.0,0.6461437499965541,2,
exp_gc_001,GA_GC[base]_n30_inst3_run0,base,2026-03-14T09:28:02Z,GA_GC,GRAPH_COLORING,30,3,,graph,,,,,499,1pt-xover+recolor(mut=0.1),13,1400,1400.0,0.03983162500662729,11,0,0,13,1400,1400.0,0.0396268750046147,0,
exp_gc_001,GA_GC[base]_n30_inst3_run1,base,2026-03-14T09:28:02Z,GA_GC,GRAPH_COLORING,30,3,,graph,,,,,499,1pt-xover+recolor(mut=0.1),107,10800,10800.0,0.3265254589932738,8,0,0,107,10800,10800.0,0.3263219999935245,1,
exp_gc_001,GA_GC[base]_n30_inst3_run2,base,2026-03-14T09:28:03Z,GA_GC,GRAPH_COLORING,30,3,,graph,,,,,499,1pt-xover+recolor(mut=0.1),50,5100,5100.0,0.15058270799636375,12,0,0,50,5100,5100.0,0.1502722500008531,2,
exp_gc_001,GA_GC[base]_n30_inst4_run0,base,2026-03-14T09:28:03Z,GA_GC,GRAPH_COLORING,30,4,,graph,,,,,499,1pt-xover+recolor(mut=0.1),65,6600,6600.0,0.18831154200597666,9,0,0,65,6600,6600.0,0.18813987499743234,0,
exp_gc_001,GA_GC[base]_n30_inst4_run1,base,2026-03-14T09:28:03Z,GA_GC,GRAPH_COLORING,30,4,,graph,,,,,499,1pt-xover+recolor(mut=0.1),118,11900,11900.0,0.3408468330017058,10,0,0,118,11900,11900.0,0.3406613330007531,1,
exp_gc_001,GA_GC[base]_n30_inst4_run2,base,2026-03-14T09:28:03Z,GA_GC,GRAPH_COLORING,30,4,,graph,,,,,499,1pt-xover+recolor(mut=0.1),14,1500,1500.0,0.04074458300601691,9,0,0,14,1500,1500.0,0.04055062499537598,2,
