experiment_id,run_id,param_tag,timestamp_utc,algorithm,problem,n_cities,instance_seed,coord_scale,distance_type,init_temp_T0,min_temp_Tmin,alpha,steps_per_temp,max_iter,neighbor_operator,iters,evals_cost,normalized_evals,time_sec,init_cost,final_cost,best_cost,iter_best_found,evals_best_found,normalized_evals_best_found,time_best_found_sec,seed_algo,code_version
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,2026-03-14T09:26:32Z,GA_GC,GRAPH_COLORING,30,0,,graph,,,,,999,1pt-xover+recolor(mut=0.02),999,50000,50000.0,1.4241622499976074,13,2,2,13,700,700.0,0.019310874995426275,0,
exp_gc_001,GA_GC[base]_n30_inst0_run1,base,2026-03-14T09:26:33Z,GA_GC,GRAPH_COLORING,30,0,,graph,,,,,999,1pt-xover+recolor(mut=0.02),999,50000,50000.0,1.4510557920002611,13,1,1,793,39700,39700.0,1.159998250004719,1,
exp_gc_001,GA_GC[base]_n30_inst0_run2,base,2026-03-14T09:26:34Z,GA_GC,GRAPH_COLORING,30,0,,graph,,,,,999,1pt-xover+recolor(mut=0.02),378,18950,18950.0,0.531413959004567,15,0,0,378,18950,18950.0,0.5313292920036474,2,
exp_gc_001,GA_GC[base]_n30_inst1_run0,base,2026-03-14T09:26:34Z,GA_GC,GRAPH_COLORING,30,1,,graph,,,,,999,1pt-xover+recolor(mut=0.02),331,16600,16600.0,0.46822683299251366,12,0,0,331,16600,16600.0,0.46815758298907895,0,
exp_gc_001,GA_GC[base]_n30_inst1_run1,base,2026-03-14T09:26:36Z,GA_GC,GRAPH_COLORING,30,1,,graph,,,,,999,1pt-xover+recolor(mut=0.02),999,50000,50000.0,1.4652401250059484,14,1,1,982,49150,49150.0,1.441131416009739,1,
exp_gc_001,GA_GC[base]_n30_inst1_run2,base,2026-03-14T09:26:37Z,GA_GC,GRAPH_COLORING,30,1,,graph,,,,,999,1pt-xover+recolor(mut=0.02),863,43200,43200.0,1.2251626659999602,14,0,0,863,43200,43200.0,1.2251069999911124,2,
exp_gc_001,GA_GC[base]_n30_inst2_run0,base,2026-03-14T09:26:37Z,GA_GC,GRAPH_COLORING,30,2,,graph,,,,,999,1pt-xover+recolor(mut=0.02),53,2700,2700.0,0.07667150000634138,15,0,0,53,2700,2700.0,0.07660262500576209,0,
exp_gc_001,GA_GC[base]_n30_inst2_run1,base,2026-03-14T09:26:37Z,GA_GC,GRAPH_COLORING,30,2,,graph,,,,,999,1pt-xover+recolor(mut=0.02),117,5900,5900.0,0.17521408300672192,14,0,0,117,5900,5900.0,0.17500970800756477,1,
exp_gc_001,GA_GC[base]_n30_inst2_run2,base,2026-03-14T09:26:37Z,GA_GC,GRAPH_COLORING,30,2,,graph,,,,,999,1pt-xover+recolor(mut=0.02),52,2650,2650.0,0.07759308299864642,15,0,0,52,2650,2650.0,0.0774820410006214,2,
exp_gc_001,GA_GC[base]_n30_inst3_run0,base,2026-03-14T09:26:39Z,GA_GC,GRAPH_COLORING,30,3,,graph,,,,,999,1pt-xover+recolor(mut=0.02),999,50000,50000.0,1.385156416989048,14,1,1,708,35450,35450.0,0.9766649169905577,0,
exp_gc_001,GA_GC[base]_n30_inst3_run1,base,2026-03-14T09:26:40Z,GA_GC,GRAPH_COLORING,30,3,,graph,,,,,999,1pt-xover+recolor(mut=0.02),999,50000,50000.0,1.3736279169970658,8,1,1,75,3800,3800.0,0.10376250000263099,1,
exp_gc_001,GA_GC[base]_n30_inst3_run2,base,2026-03-14T09:26:41Z,GA_GC,GRAPH_COLORING,30,3,,graph,,,,,999,1pt-xover+recolor(mut=0.02),241,12100,12100.0,0.3326999999990221,12,0,0,241,12100,12100.0,0.33263112499844283,2,
exp_gc_001,GA_GC[base]_n30_inst4_run0,base,2026-03-14T09:26:41Z,GA_GC,GRAPH_COLORING,30,4,,graph,,,,,999,1pt-xover+recolor(mut=0.02),13,700,700.0,0.016969000003882684,10,0,0,13,700,700.0,0.016901791997952387,0,
exp_gc_001,GA_GC[base]_n30_inst4_run1,base,2026-03-14T09:26:41Z,GA_GC,GRAPH_COLORING,30,4,,graph,,,,,999,1pt-xover+recolor(mut=0.02),92,4650,4650.0,0.11992391599051189,11,0,0,92,4650,4650.0,0.11986099999921862,1,
exp_gc_001,GA_GC[base]_n30_inst4_run2,base,2026-03-14T09:26:41Z,GA_GC,GRAPH_COLORING,30,4,,graph,,,,,999,1pt-xover+recolor(mut=0.02),88,4450,4450.0,0.11691279099613894,9,0,0,88,4450,4450.0,0.11679600000206847,2,
