experiment_id,run_id,param_tag,iter,evals_cost,normalized_evals,time_sec,temp,best_cost,current_cost
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,0,100,100.0,1.2090022210031748e-06,,12,12
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,10,1100,1100.0,0.03027254198968876,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,20,2100,2100.0,0.05997033399762586,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,30,3100,3100.0,0.08920283400220796,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,40,4100,4100.0,0.11895595899841283,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,50,5100,5100.0,0.147663374998956,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,60,6100,6100.0,0.17676645900064614,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,70,7100,7100.0,0.20548870899074245,,1,1
exp_gc_001,GA_GC[base]_n30_inst0_run0,base,75,7600,7600.0,0.2212206249969313,,0,0
exp_gc_001,GA_GC[base]_n30_inst0_run1,base,0,100,100.0,7.920025382190943e-07,,13,13
exp_gc_001,GA_GC[base]_n30_inst0_run1,base,10,1100,1100.0,0.03134804200090002,,5,5
exp_gc_001,GA_GC[base]_n30_inst0_run1,base,20,2100,2100.0,0.06336133400327526,,5,5
exp_gc_001,GA_GC[base]_n30_inst0_run1,base,30,3100,3100.0,0.0928712919994723,,3,3
exp_gc_001,GA_GC[base]_n30_inst0_run1,base,40,4100,4100.0,0.12201391700364184,,3,3
exp_gc_001,GA_GC[base]_n30_inst0_run1,base,50,5100,5100.0,0.1518728750088485,,3,3
exp_gc_001,GA_GC[base]_n30_inst0_run1,base,60,6100,6100.0,0.18128133400750812,,3,3
exp_gc_001,GA_GC[base]_n30_inst0_run1,base,70,7100,7100.0,0.2099783340090653,,2,2
exp_gc_001,GA_GC[base]_n30_inst0_run1,base,80,8100,8100.0,0.23927529199863784,,2,2
exp_gc_001,GA_GC[base]_n30_inst0_run1,base,90,9100,9100.0,0.2719997920066817,,2,2
exp_gc_001,GA_GC[base]_n30_inst0_run1,base,100,10100,10100.0,0.3117074590118136,,2,2
