experiment_id,run_id,param_tag,timestamp_utc,algorithm,problem,n_cities,instance_seed,coord_scale,distance_type,init_temp_T0,min_temp_Tmin,alpha,steps_per_temp,max_iter,neighbor_operator,iters,evals_cost,normalized_evals,time_sec,init_cost,final_cost,best_cost,iter_best_found,evals_best_found,normalized_evals_best_found,time_best_found_sec,seed_algo,code_version
exp_gc_001,HC_GC[base]_n30_inst0_run0,base,2026-03-14T09:31:38Z,HC_GC,GRAPH_COLORING,30,0,,graph,,,,,1499999,recolor-1-best,990,991,33.03,0.001440084000932984,22,2,2,900,901,30.03,0.0013217920059105381,0,
exp_gc_001,HC_GC[base]_n30_inst0_run1,base,2026-03-14T09:31:38Z,HC_GC,GRAPH_COLORING,30,0,,graph,,,,,1499999,recolor-1-best,1260,1261,42.03,0.0013699580013053492,20,2,2,1170,1171,39.03,0.0012169999972684309,1,
exp_gc_001,HC_GC[base]_n30_inst0_run2,base,2026-03-14T09:31:38Z,HC_GC,GRAPH_COLORING,30,0,,graph,,,,,1499999,recolor-1-best,810,811,27.03,0.0009785830043256283,19,3,3,720,721,24.03,0.0007457080064341426,2,
exp_gc_001,HC_GC[base]_n30_inst1_run0,base,2026-03-14T09:31:38Z,HC_GC,GRAPH_COLORING,30,1,,graph,,,,,1499999,recolor-1-best,1350,1351,45.03,0.0014647079951828346,19,1,1,1260,1261,42.03,0.0013513330050045624,0,
exp_gc_001,HC_GC[base]_n30_inst1_run1,base,2026-03-14T09:31:38Z,HC_GC,GRAPH_COLORING,30,1,,graph,,,,,1499999,recolor-1-best,990,991,33.03,0.0010727910121204332,25,3,3,900,901,30.03,0.0009604160004528239,1,
exp_gc_001,HC_GC[base]_n30_inst1_run2,base,2026-03-14T09:31:38Z,HC_GC,GRAPH_COLORING,30,1,,graph,,,,,1499999,recolor-1-best,1080,1081,36.03,0.0011588329944061115,26,3,3,990,991,33.03,0.001008457998977974,2,
exp_gc_001,HC_GC[base]_n30_inst2_run0,base,2026-03-14T09:31:38Z,HC_GC,GRAPH_COLORING,30,2,,graph,,,,,1499999,recolor-1-best,1170,1171,39.03,0.001298125003813766,25,2,2,1080,1081,36.03,0.0011834589968202636,0,
exp_gc_001,HC_GC[base]_n30_inst2_run1,base,2026-03-14T09:31:38Z,HC_GC,GRAPH_COLORING,30,2,,graph,,,,,1499999,recolor-1-best,1080,1081,36.03,0.0011973329965258017,22,2,2,990,991,33.03,0.0010388750088168308,1,
exp_gc_001,HC_GC[base]_n30_inst2_run2,base,2026-03-14T09:31:38Z,HC_GC,GRAPH_COLORING,30,2,,graph,,,,,1499999,recolor-1-best,1260,1261,42.03,0.0013962500088382512,22,1,1,1170,1171,39.03,0.0012418330006767064,2,
exp_gc_001,HC_GC[base]_n30_inst3_run0,base,2026-03-14T09:31:38Z,HC_GC,GRAPH_COLORING,30,3,,graph,,,,,1499999,recolor-1-best,1080,1081,36.03,0.0011438749934313819,22,3,3,990,991,33.03,0.0009900839941110462,0,
exp_gc_001,HC_GC[base]_n30_inst3_run1,base,2026-03-14T09:31:38Z,HC_GC,GRAPH_COLORING,30,3,,graph,,,,,1499999,recolor-1-best,900,901,30.03,0.0009487079951213673,14,1,1,810,811,27.03,0.0008399999933317304,1,
exp_gc_001,HC_GC[base]_n30_inst3_run2,base,2026-03-14T09:31:38Z,HC_GC,GRAPH_COLORING,30,3,,graph,,,,,1499999,recolor-1-best,720,721,24.03,0.000759749993449077,12,1,1,630,631,21.03,0.000650834001135081,2,
exp_gc_001,HC_GC[base]_n30_inst4_run0,base,2026-03-14T09:31:38Z,HC_GC,GRAPH_COLORING,30,4,,graph,,,,,1499999,recolor-1-best,630,631,21.03,0.0006614580051973462,14,3,3,540,541,18.03,0.0005167080089449883,0,
exp_gc_001,HC_GC[base]_n30_inst4_run1,base,2026-03-14T09:31:38Z,HC_GC,GRAPH_COLORING,30,4,,graph,,,,,1499999,recolor-1-best,990,991,33.03,0.0009511249954812229,19,1,1,900,901,30.03,0.0008475840004393831,1,
exp_gc_001,HC_GC[base]_n30_inst4_run2,base,2026-03-14T09:31:38Z,HC_GC,GRAPH_COLORING,30,4,,graph,,,,,1499999,recolor-1-best,900,901,30.03,0.0009075420093722641,17,1,1,810,811,27.03,0.0008037090010475367,2,
