experiment_id,run_id,param_tag,iter,evals_cost,normalized_evals,time_sec,temp,best_cost,current_cost
exp_gc_001,SA_GC[base]_n30_inst0_run0,base,0,1,0.03,3.000008291564882e-06,50.0,22,22
exp_gc_001,SA_GC[base]_n30_inst0_run0,base,200,201,6.7,0.0010333329992135987,6.7666502453516,15,22
exp_gc_001,SA_GC[base]_n30_inst0_run0,base,400,401,13.37,0.001731042008032091,0.9065935997497544,7,11
exp_gc_001,SA_GC[base]_n30_inst0_run0,base,600,601,20.03,0.0024632080021547154,0.12146511572278113,3,3
exp_gc_001,SA_GC[base]_n30_inst0_run0,base,800,801,26.7,0.003177708000293933,0.016273856711122924,1,1
exp_gc_001,SA_GC[base]_n30_inst0_run0,base,881,882,29.4,0.003482667001662776,0.00713799837544519,0,0
exp_gc_001,SA_GC[base]_n30_inst0_run1,base,0,1,0.03,9.999930625781417e-07,50.0,20,20
exp_gc_001,SA_GC[base]_n30_inst0_run1,base,200,201,6.7,0.0006535829888889566,6.7666502453516,14,25
exp_gc_001,SA_GC[base]_n30_inst0_run1,base,400,401,13.37,0.001309624989517033,0.9065935997497544,8,9
exp_gc_001,SA_GC[base]_n30_inst0_run1,base,600,601,20.03,0.001938832996529527,0.12146511572278113,2,2
exp_gc_001,SA_GC[base]_n30_inst0_run1,base,800,801,26.7,0.002577291990746744,0.016273856711122924,2,2
exp_gc_001,SA_GC[base]_n30_inst0_run1,base,1000,1001,33.37,0.0032275830017169937,0.002180366030841307,1,1
exp_gc_001,SA_GC[base]_n30_inst0_run1,base,1077,1078,35.93,0.003496249992167577,0.000995576383331849,1,1
exp_gc_001,SA_GC[base]_n30_inst0_run2,base,0,1,0.03,7.080088835209608e-07,50.0,19,19
exp_gc_001,SA_GC[base]_n30_inst0_run2,base,200,201,6.7,0.0006215830071596429,6.7666502453516,13,21
exp_gc_001,SA_GC[base]_n30_inst0_run2,base,400,401,13.37,0.0012713750038528815,0.9065935997497544,9,9
exp_gc_001,SA_GC[base]_n30_inst0_run2,base,600,601,20.03,0.0019016250007553026,0.12146511572278113,1,1
exp_gc_001,SA_GC[base]_n30_inst0_run2,base,800,801,26.7,0.002544625007431023,0.016273856711122924,1,1
exp_gc_001,SA_GC[base]_n30_inst0_run2,base,1000,1001,33.37,0.0031848330108914524,0.002180366030841307,1,1
exp_gc_001,SA_GC[base]_n30_inst0_run2,base,1077,1078,35.93,0.0034564579982543364,0.000995576383331849,1,1
exp_gc_001,SA_GC[base]_n30_inst1_run0,base,0,1,0.03,5.830079317092896e-07,50.0,19,19
exp_gc_001,SA_GC[base]_n30_inst1_run0,base,200,201,6.7,0.0006454999966081232,6.7666502453516,13,14
exp_gc_001,SA_GC[base]_n30_inst1_run0,base,400,401,13.37,0.0012866250035585836,0.9065935997497544,6,6
exp_gc_001,SA_GC[base]_n30_inst1_run0,base,586,587,19.57,0.0018981670000357553,0.1384184680928425,0,0
exp_gc_001,SA_GC[base]_n30_inst1_run1,base,0,1,0.03,6.250047590583563e-07,50.0,25,25
exp_gc_001,SA_GC[base]_n30_inst1_run1,base,200,201,6.7,0.0006301250105025247,6.7666502453516,15,21
exp_gc_001,SA_GC[base]_n30_inst1_run1,base,400,401,13.37,0.0012803330027963966,0.9065935997497544,12,14
exp_gc_001,SA_GC[base]_n30_inst1_run1,base,600,601,20.03,0.001921083006891422,0.12146511572278113,5,5
exp_gc_001,SA_GC[base]_n30_inst1_run1,base,800,801,26.7,0.0025659170059952885,0.016273856711122924,2,2
exp_gc_001,SA_GC[base]_n30_inst1_run1,base,1000,1001,33.37,0.0032178330002352595,0.002180366030841307,2,2
exp_gc_001,SA_GC[base]_n30_inst1_run1,base,1077,1078,35.93,0.0034987500112038106,0.000995576383331849,2,2
exp_gc_001,SA_GC[base]_n30_inst1_run2,base,0,1,0.03,5.830079317092896e-07,50.0,26,26
exp_gc_001,SA_GC[base]_n30_inst1_run2,base,200,201,6.7,0.0006328330055112019,6.7666502453516,16,19
exp_gc_001,SA_GC[base]_n30_inst1_run2,base,400,401,13.37,0.0012781669938704,0.9065935997497544,9,20
exp_gc_001,SA_GC[base]_n30_inst1_run2,base,600,601,20.03,0.0019223330018576235,0.12146511572278113,4,4
exp_gc_001,SA_GC[base]_n30_inst1_run2,base,800,801,26.7,0.002598624996608123,0.016273856711122924,3,3
exp_gc_001,SA_GC[base]_n30_inst1_run2,base,1000,1001,33.37,0.003256625001085922,0.002180366030841307,1,1
exp_gc_001,SA_GC[base]_n30_inst1_run2,base,1077,1078,35.93,0.0035390830016694963,0.000995576383331849,1,1
exp_gc_001,SA_GC[base]_n30_inst2_run0,base,0,1,0.03,6.250047590583563e-07,50.0,25,25
exp_gc_001,SA_GC[base]_n30_inst2_run0,base,200,201,6.7,0.0006399999983841553,6.7666502453516,14,17
exp_gc_001,SA_GC[base]_n30_inst2_run0,base,400,401,13.37,0.0013181670074118301,0.9065935997497544,10,11
exp_gc_001,SA_GC[base]_n30_inst2_run0,base,600,601,20.03,0.001981250010430813,0.12146511572278113,3,3
exp_gc_001,SA_GC[base]_n30_inst2_run0,base,800,801,26.7,0.002702750003663823,0.016273856711122924,2,2
exp_gc_001,SA_GC[base]_n30_inst2_run0,base,1000,1001,33.37,0.00343670800793916,0.002180366030841307,2,2
exp_gc_001,SA_GC[base]_n30_inst2_run0,base,1077,1078,35.93,0.003751750002265908,0.000995576383331849,2,2
