experiment_id,run_id,param_tag,timestamp_utc,algorithm,problem,n_cities,instance_seed,coord_scale,distance_type,init_temp_T0,min_temp_Tmin,alpha,steps_per_temp,max_iter,neighbor_operator,iters,evals_cost,normalized_evals,time_sec,init_cost,final_cost,best_cost,iter_best_found,evals_best_found,normalized_evals_best_found,time_best_found_sec,seed_algo,code_version
exp_gc_001,SA_GC[base]_n30_inst0_run0,base,2026-03-14T09:26:08Z,SA_GC,GRAPH_COLORING,30,0,,graph,5.0,0.001,0.999,,1499999,recolor-1,2626,2627,87.57,0.008653666998725384,22,0,0,2626,2627,87.57,0.008607499999925494,0,
exp_gc_001,SA_GC[base]_n30_inst0_run1,base,2026-03-14T09:26:08Z,SA_GC,GRAPH_COLORING,30,0,,graph,5.0,0.001,0.999,,1499999,recolor-1,3152,3153,105.1,0.01023645800887607,20,0,0,3152,3153,105.1,0.010194125003181398,1,
exp_gc_001,SA_GC[base]_n30_inst0_run2,base,2026-03-14T09:26:08Z,SA_GC,GRAPH_COLORING,30,0,,graph,5.0,0.001,0.999,,1499999,recolor-1,2334,2335,77.83,0.007533291005529463,19,0,0,2334,2335,77.83,0.007486457994673401,2,
exp_gc_001,SA_GC[base]_n30_inst1_run0,base,2026-03-14T09:26:08Z,SA_GC,GRAPH_COLORING,30,1,,graph,5.0,0.001,0.999,,1499999,recolor-1,3773,3774,125.8,0.011974749999353662,19,0,0,3773,3774,125.8,0.011928749998332933,0,
exp_gc_001,SA_GC[base]_n30_inst1_run1,base,2026-03-14T09:26:08Z,SA_GC,GRAPH_COLORING,30,1,,graph,5.0,0.001,0.999,,1499999,recolor-1,2565,2566,85.53,0.008219208000809886,25,0,0,2565,2566,85.53,0.008145875006448478,1,
exp_gc_001,SA_GC[base]_n30_inst1_run2,base,2026-03-14T09:26:08Z,SA_GC,GRAPH_COLORING,30,1,,graph,5.0,0.001,0.999,,1499999,recolor-1,2900,2901,96.7,0.009215666999807581,26,0,0,2900,2901,96.7,0.009169999990263022,2,
exp_gc_001,SA_GC[base]_n30_inst2_run0,base,2026-03-14T09:26:08Z,SA_GC,GRAPH_COLORING,30,2,,graph,5.0,0.001,0.999,,1499999,recolor-1,3549,3550,118.33,0.011509333999129012,25,0,0,3549,3550,118.33,0.011461250003776513,0,
exp_gc_001,SA_GC[base]_n30_inst2_run1,base,2026-03-14T09:26:08Z,SA_GC,GRAPH_COLORING,30,2,,graph,5.0,0.001,0.999,,1499999,recolor-1,6177,6178,205.93,0.020333708001999184,22,0,0,6177,6178,205.93,0.020285291990148835,1,
exp_gc_001,SA_GC[base]_n30_inst2_run2,base,2026-03-14T09:26:08Z,SA_GC,GRAPH_COLORING,30,2,,graph,5.0,0.001,0.999,,1499999,recolor-1,3756,3757,125.23,0.01213149999966845,22,0,0,3756,3757,125.23,0.012091625001630746,2,
exp_gc_001,SA_GC[base]_n30_inst3_run0,base,2026-03-14T09:26:08Z,SA_GC,GRAPH_COLORING,30,3,,graph,5.0,0.001,0.999,,1499999,recolor-1,3006,3007,100.23,0.009398333000717685,22,0,0,3006,3007,100.23,0.00935308299085591,0,
exp_gc_001,SA_GC[base]_n30_inst3_run1,base,2026-03-14T09:26:08Z,SA_GC,GRAPH_COLORING,30,3,,graph,5.0,0.001,0.999,,1499999,recolor-1,3127,3128,104.27,0.009968083002604544,14,0,0,3127,3128,104.27,0.009923707999405451,1,
exp_gc_001,SA_GC[base]_n30_inst3_run2,base,2026-03-14T09:26:08Z,SA_GC,GRAPH_COLORING,30,3,,graph,5.0,0.001,0.999,,1499999,recolor-1,2467,2468,82.27,0.00792208401253447,12,0,0,2467,2468,82.27,0.007879584009060636,2,
exp_gc_001,SA_GC[base]_n30_inst4_run0,base,2026-03-14T09:26:08Z,SA_GC,GRAPH_COLORING,30,4,,graph,5.0,0.001,0.999,,1499999,recolor-1,2240,2241,74.7,0.006826582990470342,14,0,0,2240,2241,74.7,0.00678591598989442,0,
exp_gc_001,SA_GC[base]_n30_inst4_run1,base,2026-03-14T09:26:08Z,SA_GC,GRAPH_COLORING,30,4,,graph,5.0,0.001,0.999,,1499999,recolor-1,2588,2589,86.3,0.008005832991329953,19,0,0,2588,2589,86.3,0.00795845799439121,1,
exp_gc_001,SA_GC[base]_n30_inst4_run2,base,2026-03-14T09:26:08Z,SA_GC,GRAPH_COLORING,30,4,,graph,5.0,0.001,0.999,,1499999,recolor-1,2872,2873,95.77,0.008733957991353236,17,0,0,2872,2873,95.77,0.008687916997587308,2,
