experiment_id,run_id,param_tag,iter,evals_cost,normalized_evals,time_sec,temp,best_cost,current_cost
exp_kp_001,HC_KP[base]_n100_inst0_run0,base,0,1,1.0,5.49999822396785e-06,,-2768.0,-2768.0
exp_kp_001,HC_KP[base]_n100_inst0_run0,base,200,201,201.0,0.0019307079928694293,,-2866.0,-2866.0
exp_kp_001,HC_KP[base]_n100_inst0_run0,base,400,401,401.0,0.0036229999968782067,,-3053.0,-3053.0
exp_kp_001,HC_KP[base]_n100_inst0_run0,base,600,601,601.0,0.005241749997367151,,-3230.0,-3230.0
exp_kp_001,HC_KP[base]_n100_inst0_run0,base,800,801,801.0,0.006755833004717715,,-3410.0,-3410.0
exp_kp_001,HC_KP[base]_n100_inst0_run0,base,1000,1001,1001.0,0.008595666993642226,,-3558.0,-3558.0
exp_kp_001,HC_KP[base]_n100_inst0_run0,base,1200,1201,1201.0,0.010190957997110672,,-3699.0,-3699.0
exp_kp_001,HC_KP[base]_n100_inst0_run0,base,1400,1401,1401.0,0.011820166997495107,,-3821.0,-3821.0
exp_kp_001,HC_KP[base]_n100_inst0_run0,base,1600,1601,1601.0,0.013384874997427687,,-3944.0,-3944.0
exp_kp_001,HC_KP[base]_n100_inst0_run0,base,1800,1801,1801.0,0.015040625003166497,,-4048.0,-4048.0
exp_kp_001,HC_KP[base]_n100_inst0_run0,base,2000,2001,2001.0,0.016705792004358955,,-4130.0,-4130.0
exp_kp_001,HC_KP[base]_n100_inst0_run0,base,2200,2201,2201.0,0.018388374999631196,,-4191.0,-4191.0
exp_kp_001,HC_KP[base]_n100_inst0_run0,base,2400,2401,2401.0,0.019884042005287483,,-4280.0,-4280.0
exp_kp_001,HC_KP[base]_n100_inst0_run0,base,2600,2601,2601.0,0.021518624998861924,,-4325.0,-4325.0
exp_kp_001,HC_KP[base]_n100_inst0_run0,base,2800,2801,2801.0,0.02310199999192264,,-4372.0,-4372.0
exp_kp_001,HC_KP[base]_n100_inst0_run0,base,2900,2901,2901.0,0.023999707991606556,,-4383.0,-4383.0
exp_kp_001,HC_KP[base]_n100_inst0_run1,base,0,1,1.0,3.8330035749822855e-06,,-3144.0,-3144.0
exp_kp_001,HC_KP[base]_n100_inst0_run1,base,200,201,201.0,0.0013693329965462908,,-3242.0,-3242.0
exp_kp_001,HC_KP[base]_n100_inst0_run1,base,400,401,401.0,0.002965000006952323,,-3415.0,-3415.0
exp_kp_001,HC_KP[base]_n100_inst0_run1,base,600,601,601.0,0.0047711660008644685,,-3587.0,-3587.0
exp_kp_001,HC_KP[base]_n100_inst0_run1,base,800,801,801.0,0.006590707998839207,,-3729.0,-3729.0
exp_kp_001,HC_KP[base]_n100_inst0_run1,base,1000,1001,1001.0,0.008451333007542416,,-3860.0,-3860.0
exp_kp_001,HC_KP[base]_n100_inst0_run1,base,1200,1201,1201.0,0.01000637499964796,,-3977.0,-3977.0
exp_kp_001,HC_KP[base]_n100_inst0_run1,base,1400,1401,1401.0,0.011622916004853323,,-4075.0,-4075.0
exp_kp_001,HC_KP[base]_n100_inst0_run1,base,1600,1601,1601.0,0.013315290998434648,,-4188.0,-4188.0
exp_kp_001,HC_KP[base]_n100_inst0_run1,base,1800,1801,1801.0,0.01494387500861194,,-4263.0,-4263.0
exp_kp_001,HC_KP[base]_n100_inst0_run1,base,2000,2001,2001.0,0.016557124996325,,-4320.0,-4320.0
exp_kp_001,HC_KP[base]_n100_inst0_run1,base,2200,2201,2201.0,0.018171165997046046,,-4382.0,-4382.0
exp_kp_001,HC_KP[base]_n100_inst0_run1,base,2400,2401,2401.0,0.019760958006372675,,-4390.0,-4390.0
exp_kp_001,HC_KP[base]_n100_inst0_run1,base,2600,2601,2601.0,0.02135104099579621,,-4416.0,-4416.0
exp_kp_001,HC_KP[base]_n100_inst0_run1,base,2600,2601,2601.0,0.02141104100155644,,-4416.0,-4416.0
exp_kp_001,HC_KP[base]_n100_inst0_run2,base,0,1,1.0,3.6249984987080097e-06,,-2790.0,-2790.0
exp_kp_001,HC_KP[base]_n100_inst0_run2,base,200,201,201.0,0.0013267920003272593,,-2890.0,-2890.0
exp_kp_001,HC_KP[base]_n100_inst0_run2,base,400,401,401.0,0.0028644169942708686,,-3072.0,-3072.0
exp_kp_001,HC_KP[base]_n100_inst0_run2,base,600,601,601.0,0.004463541990844533,,-3245.0,-3245.0
exp_kp_001,HC_KP[base]_n100_inst0_run2,base,800,801,801.0,0.006065249996026978,,-3428.0,-3428.0
exp_kp_001,HC_KP[base]_n100_inst0_run2,base,1000,1001,1001.0,0.007756749997497536,,-3574.0,-3574.0
exp_kp_001,HC_KP[base]_n100_inst0_run2,base,1200,1201,1201.0,0.0094132499943953,,-3719.0,-3719.0
exp_kp_001,HC_KP[base]_n100_inst0_run2,base,1400,1401,1401.0,0.0110021250002319,,-3839.0,-3839.0
exp_kp_001,HC_KP[base]_n100_inst0_run2,base,1600,1601,1601.0,0.012490209002862684,,-3951.0,-3951.0
exp_kp_001,HC_KP[base]_n100_inst0_run2,base,1800,1801,1801.0,0.014062542002648115,,-4073.0,-4073.0
exp_kp_001,HC_KP[base]_n100_inst0_run2,base,2000,2001,2001.0,0.015757792003569193,,-4157.0,-4157.0
exp_kp_001,HC_KP[base]_n100_inst0_run2,base,2200,2201,2201.0,0.01744666699960362,,-4255.0,-4255.0
exp_kp_001,HC_KP[base]_n100_inst0_run2,base,2400,2401,2401.0,0.019070791997364722,,-4286.0,-4286.0
exp_kp_001,HC_KP[base]_n100_inst0_run2,base,2600,2601,2601.0,0.020626708996132948,,-4356.0,-4356.0
exp_kp_001,HC_KP[base]_n100_inst0_run2,base,2800,2801,2801.0,0.022289959000772797,,-4367.0,-4367.0
exp_kp_001,HC_KP[base]_n100_inst0_run2,base,3000,3001,3001.0,0.023864083996159025,,-4390.0,-4390.0
exp_kp_001,HC_KP[base]_n100_inst0_run2,base,3100,3101,3101.0,0.02468729199608788,,-4427.0,-4427.0
exp_kp_001,HC_KP[base]_n100_inst1_run0,base,0,1,1.0,3.916997229680419e-06,,-3207.0,-3207.0
exp_kp_001,HC_KP[base]_n100_inst1_run0,base,200,201,201.0,0.0015301670064218342,,-3294.0,-3294.0
exp_kp_001,HC_KP[base]_n100_inst1_run0,base,400,401,401.0,0.003042166994418949,,-3469.0,-3469.0
exp_kp_001,HC_KP[base]_n100_inst1_run0,base,600,601,601.0,0.004647541994927451,,-3615.0,-3615.0
exp_kp_001,HC_KP[base]_n100_inst1_run0,base,800,801,801.0,0.006237124995095655,,-3750.0,-3750.0
exp_kp_001,HC_KP[base]_n100_inst1_run0,base,1000,1001,1001.0,0.00782654200156685,,-3887.0,-3887.0
exp_kp_001,HC_KP[base]_n100_inst1_run0,base,1200,1201,1201.0,0.009454667000682093,,-3983.0,-3983.0
