experiment_id,run_id,param_tag,timestamp_utc,algorithm,problem,n_cities,instance_seed,coord_scale,distance_type,init_temp_T0,min_temp_Tmin,alpha,steps_per_temp,max_iter,neighbor_operator,iters,evals_cost,normalized_evals,time_sec,init_cost,final_cost,best_cost,iter_best_found,evals_best_found,normalized_evals_best_found,time_best_found_sec,seed_algo,code_version
exp_kp_001,TLBO_KP[base]_n100_inst0_run0,base,2026-03-13T16:05:31Z,TLBO_KP,KNAPSACK,,0,,,,,,,500,copydiff(p=0.3)+repair,500,15073,30146.0,0.1423584170115646,-3539.0,-4460.0,-4460.0,25,1115,2230.0,0.016803874998004176,0,
exp_kp_001,TLBO_KP[base]_n100_inst0_run1,base,2026-03-13T16:05:31Z,TLBO_KP,KNAPSACK,,0,,,,,,,500,copydiff(p=0.3)+repair,500,15104,30208.0,0.1332210000109626,-3283.0,-4422.0,-4422.0,18,800,1600.0,0.010249833008856513,1,
exp_kp_001,TLBO_KP[base]_n100_inst0_run2,base,2026-03-13T16:05:31Z,TLBO_KP,KNAPSACK,,0,,,,,,,500,copydiff(p=0.3)+repair,500,15092,30184.0,0.14443716700770892,-3332.0,-4447.0,-4447.0,26,1177,2354.0,0.014707624999573454,2,
exp_kp_001,TLBO_KP[base]_n100_inst1_run0,base,2026-03-13T16:05:31Z,TLBO_KP,KNAPSACK,,1,,,,,,,500,copydiff(p=0.3)+repair,500,15720,31440.0,0.14778037500218488,-3207.0,-4268.0,-4268.0,21,983,1966.0,0.013818167004501447,0,
exp_kp_001,TLBO_KP[base]_n100_inst1_run1,base,2026-03-13T16:05:31Z,TLBO_KP,KNAPSACK,,1,,,,,,,500,copydiff(p=0.3)+repair,500,15194,30388.0,0.14357404100883286,-3432.0,-4145.0,-4145.0,27,1196,2392.0,0.019117625008220784,1,
exp_kp_001,TLBO_KP[base]_n100_inst1_run2,base,2026-03-13T16:05:31Z,TLBO_KP,KNAPSACK,,1,,,,,,,500,copydiff(p=0.3)+repair,500,15159,30318.0,0.14785300000221469,-3252.0,-4209.0,-4209.0,22,1015,2030.0,0.012945583002874628,2,
exp_kp_001,TLBO_KP[base]_n100_inst2_run0,base,2026-03-13T16:05:31Z,TLBO_KP,KNAPSACK,,2,,,,,,,500,copydiff(p=0.3)+repair,500,15210,30420.0,0.1349395830038702,-2923.0,-4016.0,-4016.0,48,2006,4012.0,0.026105832992470823,0,
exp_kp_001,TLBO_KP[base]_n100_inst2_run1,base,2026-03-13T16:05:32Z,TLBO_KP,KNAPSACK,,2,,,,,,,500,copydiff(p=0.3)+repair,500,15218,30436.0,0.1476512080116663,-2777.0,-4013.0,-4013.0,25,1125,2250.0,0.015151250001508743,1,
exp_kp_001,TLBO_KP[base]_n100_inst2_run2,base,2026-03-13T16:05:32Z,TLBO_KP,KNAPSACK,,2,,,,,,,500,copydiff(p=0.3)+repair,500,15004,30008.0,0.12628850000328384,-2964.0,-4021.0,-4021.0,27,1206,2412.0,0.014482875005342066,2,
exp_kp_001,TLBO_KP[base]_n100_inst3_run0,base,2026-03-13T16:05:32Z,TLBO_KP,KNAPSACK,,3,,,,,,,500,copydiff(p=0.3)+repair,500,15065,30130.0,0.140676250011893,-3128.0,-3837.0,-3837.0,23,1019,2038.0,0.013115291003487073,0,
exp_kp_001,TLBO_KP[base]_n100_inst3_run1,base,2026-03-13T16:05:32Z,TLBO_KP,KNAPSACK,,3,,,,,,,500,copydiff(p=0.3)+repair,500,15162,30324.0,0.21880833301111124,-2832.0,-3830.0,-3830.0,24,1065,2130.0,0.013916625001002103,1,
exp_kp_001,TLBO_KP[base]_n100_inst3_run2,base,2026-03-13T16:05:32Z,TLBO_KP,KNAPSACK,,3,,,,,,,500,copydiff(p=0.3)+repair,500,15044,30088.0,0.15837441700568888,-3000.0,-3863.0,-3863.0,18,789,1578.0,0.031274542008759454,2,
exp_kp_001,TLBO_KP[base]_n100_inst4_run0,base,2026-03-13T16:05:32Z,TLBO_KP,KNAPSACK,,4,,,,,,,500,copydiff(p=0.3)+repair,500,15122,30244.0,0.1434932919946732,-2877.0,-3867.0,-3867.0,22,1016,2032.0,0.017843458990682848,0,
exp_kp_001,TLBO_KP[base]_n100_inst4_run1,base,2026-03-13T16:05:33Z,TLBO_KP,KNAPSACK,,4,,,,,,,500,copydiff(p=0.3)+repair,500,15063,30126.0,0.13396608299808577,-2885.0,-3836.0,-3836.0,32,1409,2818.0,0.018415375001495704,1,
exp_kp_001,TLBO_KP[base]_n100_inst4_run2,base,2026-03-13T16:05:33Z,TLBO_KP,KNAPSACK,,4,,,,,,,500,copydiff(p=0.3)+repair,500,14935,29870.0,0.13311354198958725,-3127.0,-3898.0,-3898.0,17,762,1524.0,0.010879041990847327,2,
