experiment_id,run_id,param_tag,timestamp_utc,algorithm,problem,n_cities,instance_seed,coord_scale,distance_type,init_temp_T0,min_temp_Tmin,alpha,steps_per_temp,max_iter,neighbor_operator,iters,evals_cost,normalized_evals,time_sec,init_cost,final_cost,best_cost,iter_best_found,evals_best_found,normalized_evals_best_found,time_best_found_sec,seed_algo,code_version
exp_001,ACO_n30_inst0_run0,base,2026-03-14T07:30:46Z,ACO,TSP,30,0,100.0,euclidean,,,,,1667,"ACO(ants=10,beta=2.0,rho=0.2,Q=100.0)",1667,16670,500100.0,10.441408999991836,,474.78097184677995,474.78097184677995,119,1190,35700.0,0.7141622079943772,0,
exp_001,ACO_n30_inst0_run1,base,2026-03-14T07:30:56Z,ACO,TSP,30,0,100.0,euclidean,,,,,1667,"ACO(ants=10,beta=2.0,rho=0.2,Q=100.0)",1667,16670,500100.0,10.205285541989724,,474.78097184678,474.78097184678,1069,10690,320700.0,6.429554999995162,1,
exp_001,ACO_n30_inst0_run0,base,2026-03-14T07:38:27Z,ACO,TSP,30,0,100.0,euclidean,,,,,5000,"ACO(ants=10,beta=2.0,rho=0.2,Q=100.0)",5000,50000,1500000.0,31.124744334010757,,474.48655643929123,474.48655643929123,2304,23040,691200.0,14.24897595900984,0,
exp_001,ACO_n30_inst0_run1,base,2026-03-14T07:38:59Z,ACO,TSP,30,0,100.0,euclidean,,,,,5000,"ACO(ants=10,beta=2.0,rho=0.2,Q=100.0)",5000,50000,1500000.0,31.939373375003925,,474.78097184677995,474.78097184677995,4924,49240,1477200.0,31.471233084012056,1,
exp_001,ACO_n30_inst0_run2,base,2026-03-14T07:39:30Z,ACO,TSP,30,0,100.0,euclidean,,,,,5000,"ACO(ants=10,beta=2.0,rho=0.2,Q=100.0)",5000,50000,1500000.0,31.728673374993377,,474.48655643929123,474.48655643929123,2509,25090,752700.0,15.50528483299422,2,
exp_001,ACO_n30_inst1_run0,base,2026-03-14T07:40:03Z,ACO,TSP,30,1,100.0,euclidean,,,,,5000,"ACO(ants=10,beta=2.0,rho=0.2,Q=100.0)",5000,50000,1500000.0,32.514731791990926,,412.33017250302703,412.33017250302703,1167,11670,350100.0,7.363455708997208,0,
exp_001,ACO_n30_inst1_run1,base,2026-03-14T07:40:36Z,ACO,TSP,30,1,100.0,euclidean,,,,,5000,"ACO(ants=10,beta=2.0,rho=0.2,Q=100.0)",5000,50000,1500000.0,32.93917362499633,,412.3301725030269,412.3301725030269,1876,18760,562800.0,12.255040167001425,1,
exp_001,ACO_n30_inst1_run2,base,2026-03-14T07:41:12Z,ACO,TSP,30,1,100.0,euclidean,,,,,5000,"ACO(ants=10,beta=2.0,rho=0.2,Q=100.0)",5000,50000,1500000.0,36.00905187500757,,412.3301725030269,412.3301725030269,2805,28050,841500.0,18.17905016700388,2,
exp_001,ACO_n30_inst2_run0,base,2026-03-14T07:41:52Z,ACO,TSP,30,2,100.0,euclidean,,,,,5000,"ACO(ants=10,beta=2.0,rho=0.2,Q=100.0)",5000,50000,1500000.0,40.39658737499849,,404.4220706516928,404.4220706516928,391,3910,117300.0,2.7429487089975737,0,
exp_001,ACO_n30_inst2_run1,base,2026-03-14T07:42:29Z,ACO,TSP,30,2,100.0,euclidean,,,,,5000,"ACO(ants=10,beta=2.0,rho=0.2,Q=100.0)",5000,50000,1500000.0,36.223875083000166,,404.4220706516928,404.4220706516928,292,2920,87600.0,2.1113496249890886,1,
